ID	Traditional	Pinyin	POS	Meaning
B4L11-I-45	自己人	zìjìrén		one of us, one of our own, compatriots
B4L11-I-46	哪裏哪裏	nǎlǐ nǎlǐ		not at all, not a problem, you're welcome
B4L11-II-01	漸漸	jiànjiàn	Adv	gradually
B4L11-II-02	曾	céng	Adv	have been before, was once (formal)
B4L11-II-03	嘗試	chángshì	V/N	to try (something new), attempt; an attempt
B4L11-II-04	結構	jiégòu	N	structure
B4L11-II-05	產生	chǎnshēng	Vp	to take place, produce
B4L11-II-06	轉變	zhuǎnbiàn	N	change transformation
B4L11-II-07	嬰兒	yīng'ér	N	baby
B4L11-II-08	雙親	shuāngqīn	N	both parents
B4L11-II-09	本國	běnguó	N	our country
B4L11-II-10	國籍	guójí	N	nationality
B4L11-II-11	大陸籍	dàlùjí	N	from Mainland China, (lit. Mainland nationality) (籍 -jí, nationality)
B4L11-II-12	其	qí	Det	his, her, its their (formal)
B4L11-II-13	比例	bǐlì	N	ratio (percentage)
B4L11-II-14	根本	gēnběn	Vs	fundamental
B4L11-II-15	可見	kějiàn	Conj	it is obvious that, it is clearly seen that
B4L11-II-16	現有	xiànyǒu	Vs-attr	current, existing
B4L11-II-17	分配	fēnpèi	N/V	distribution; to distribute, allocate
B4L11-II-18	顧慮	gùlǜ	Vst	to be concerned about
B4L11-II-19	學童	xuétóng	N	school children
B4L11-II-20	身心	shēnxīn	N	physical and mental, mind and body
B4L11-II-21	缺乏	quēfá	Vst	to lack
B4L11-II-22	課業	kèyè	N	school work
B4L11-II-23	指導	zhǐdǎo	N/V	guidance; to give guidance to
B4L11-II-24	輔導	fǔdǎo	V	to counsel
B4L11-II-25	輸	shū	Vp	to lose out (opposite of win)
B4L11-II-26	失去	shīqù	Vp	to lose (an item), lack
B4L11-II-27	然而	rán'ér	Conj	but, on the other hand, however
B4L11-II-28	觀點	guāndiǎn	N	perspective
B4L11-II-29	加速	jiāsù	V	to accelerate
B4L11-II-30	創下	chuàngxià	Vpt	to set (a record)
B4L11-II-31	記錄	jìlù	N	record
B4L11-II-32	明顯	míngxiǎn	Vs	significant, obvious
B4L11-II-33	下降	xiàjiàng	Vp	to decrease
B4L11-II-34	趨勢	qūshì	N	trend
B4L11-II-35	高齡化	gāolínghuà	Vp	for a population to be become aged/geriatric
B4L11-II-36	世代	shìdài	N	generation
B4L11-II-37	不足	bùzú	Vs	insufficient, not adequate
B4L11-II-38	持續	chíxù	Vaux	to continue, to keep on
B4L11-II-39	正視	zhèngshì	V	to face squarely, pay due attention to
B4L11-II-40	國語	Guóyǔ		Mandarin
B4L11-II-41	客語	Kèyǔ		Hakka, a Chinese (Han) dialect
B4L11-II-42	最多數	zuìduōshù		the greatest majority
B4L11-II-43	總人數	zǒngrénshù		total population
B4L11-II-44	起跑點	qǐpǎodiǎn		starting line
B4L11-II-45	新生兒	xīnshēng'ér		a newborn baby
B4L11-II-46	生產力	shēngchǎnlì		productivity
B4L11-II-47	一較長短	yìjiào chángduǎn		to compete, to compare against
B4L12-I-01	王安康	Wáng Ānkāng		Wang Ankang, male
B4L12-I-02	張定能	Zhāng Dìngnéng		Zhang Dingneng, male
B4L12-I-03	美好	měihǎo	Vs	wonderful, beautiful
B4L12-I-04	當選	dāngxuǎn	Vpt	to be elected to an office
B4L12-I-05	無所謂	wúsuǒwèi	Vs	I don't care, does not bother me
B4L12-I-06	敏感	mǐngǎn	Vs	sensitive
B4L12-I-07	化學	huàxué	N	chemical, chemistry
B4L12-I-08	添加物	tiānjiāwù	N	additives
B4L12-I-09	殘留	cánliú	N/V	residue
B4L12-I-10	修改	xiūgǎi	V	to amend
B4L12-I-11	法規	fǎguī	N	laws ad regulations, statutes
B4L12-I-12	安養	ānyǎng	N	to care for, to provide nursing care to all people
B4L12-I-13	河川	héchuān	N	river and stream
B4L12-I-14	脫離	tuōlí	Vpt	to be seperate oneself from, break away from
B4L12-I-15	背景	bèijǐng	N	background
B4L12-I-16	領域	lǐngyù	N	area (of study, etc.), (here) walk of life
B4L12-I-17	竟然	jìngrán	Adv	unexpectedly, surprisingly
B4L12-I-18	總統	zǒngtǒng	N	president
B4L12-I-19	保障	bǎozhàng	N/V	security (e.g., job security), to guarantee
B4L12-I-20	特權	tèquán	N	special privileges
B4L12-I-21	把持	bǎchí	V	to control
B4L12-I-22	監督	jiāndū	V	to oversee, monitor, supervise
B4L12-I-23	罷免	bàmiǎn	V	to recall, remove from office
B4L12-I-24	權	quán	N	power, authority
B4L12-I-25	廉能	liánnéng	Vs	clean and capable
B4L12-I-26	富足	fùzú	Vs	affluent, abundant
B4L12-I-27	在乎	zàihū	Vst	to care about
B4L12-I-28	生命	shēngmìng	V	life
B4L12-I-29	財產	cáichǎn	N	property, assets
B4L12-I-30	義工	yìgōng	N	volunteer
B4L12-I-31	選戰	xuǎnzhàn	N	(election) campaign
B4L12-I-32	承諾	chéngnuò	N/V	promise; to promise
B4L12-I-33	帶領	dàilǐng	V	to lead
B4L12-I-34	力量	lìliàng	N	power
B4L12-I-35	擺脫	bǎituō	V	to rid of
B4L12-I-36	困境	kùnjìng	N	dire situation
B4L12-I-37	房地產	fángdìchǎn		real estate
B4L12-I-38	小自... 大致...	xiǎo zì... dà zhì...		from such trivialities to such major concerns (自, from (formal); 至, to (formal))
B4L12-I-39	是否	shìfǒu		whether or not
B4L12-I-40	照理說	zhào lǐ shuō		normally
B4L12-I-41	政治人物	zhèngzhì rénwù		politicians
B4L12-I-42	受苦	shòu kǔ		suffering
B4L12-II-01	富裕	fùyù	Vs	rich, affluent
B4L12-II-02	貪污	tānwū	Vp	to graft, to demand
B4L12-II-03	腐敗	fǔbài	Vs	corruption
B4L12-II-04	政爭	zhèngzhēng	N	political infighting
B4L12-II-05	停滯	tíngzhì	Vp	to stagnate, stall
B4L12-II-06	上升	shàngshēng	Vp	to rise
B4L12-II-07	信心	xìnxīn	N	confidence
B4L12-II-08	遊民	yóumín	N	street people, the homeless
B4L12-II-09	外界	wàijiè	N	the outside world
B4L12-II-10	悲慘	bēicǎn	Vs	miserable, tragic
B4L12-II-11	日子	rìzi	N	days, life
B4L12-II-12	如此	rúcǐ	Adv	such, so
B4L12-II-13	巨大	jùdà	Vs	enormous
B4L12-II-14	無能	wúnéng	Vs	incompenent
B4L12-II-15	冷漠	lěngmò	Vs	apathetic
B4L12-II-16	學者	xuézhě	N	scholars
B4L12-II-17	階層	jiēcéng	N	class hierarchy (in society)
B4L12-II-18	自然	zìrán	Adv	naturally
B4L12-II-19	阻止	zǔzhǐ	V	to prevent, block
B4L12-II-20	遙遠	yáoyuǎn	Vs	remote
B4L12-II-21	無論	wúlùn	Conj	no matter, regardless
B4L12-II-22	明明	míngmíng	Adv	clearly, obviously
B4L12-II-23	骯髒	āngzāng	Vs	dirty
B4L12-II-24	顧	gù	V	to care about
B4L12-II-25	自身	zìshēn	N	one's own
B4L12-II-26	政客	zhèngkè	N	politico
B4L12-II-27	縱容	zòngróng	V	to condone, tolerate
B4L12-II-28	使得	shǐde	Vst	to make, to cause
B4L12-II-29	工廠	gōngchǎng	N	factory
B4L12-II-30	密集	mìjí	Vs	crowded with high density of
B4L12-II-31	遭受	zāoshòu	Vst	to suffer from, be subjected to
B4L12-II-32	困苦	kùnkǔ	Vs	distressed
B4L12-II-33	老人年金	lǎorén niánjīn		annuity payment for senior citizens (provided by The National Pension Program in Taiwan)
B4L12-II-34	無家可歸	wújiā kěguī		homeless, no home to go back to
B4L12-II-36	漠不關心	mòbù guānxīn		indifferent
B4L12-II-37	發言權	fāyán quán		right to speak, (here) a voice (in politics, etc...)
B4L12-II-38	影響力	yǐngxiǎng lì		influence
B4L12-II-39	官商勾結	guānshāng gōujié		collusion between politicians and business people
B4L12-II-40	貧富懸殊	pínfù xuánshū		a huge gap between the rich and the poor
B4L12-II-41	息息相關	xíxí xiāngguān		inextricably related to
B4L01-I-01	小玲	Xiǎolíng		Xiaoling, female
B4L01-I-03	聊天室	liáotiānshì	N	chatroom
B4L01-I-04	上班族	shàngbānzú	N	(office) workers (族, -zú, group)
B4L01-I-05	與其	yǔqí	Conj	rather than
B4L01-I-06	冷清	lěngqīng	Vs	deserted, empty
B4L01-I-07	高就	gāojiù	Vi	to work (honorific)
B4L01-I-08	部門	bùmén	N	department
B4L01-I-09	厲害	lìhài	Vs	impressive, good, awesome
B4L01-I-10	加班	jiābān	V-sep	to work overtime
B4L01-I-11	類	lèi	M	kind, type
B4L01-I-12	恐怖片	kǒngbùpiàn	N	horro movie (恐怖, kǒngbù, scary; 片, -piàn, film)
B4L01-I-13	愛情片	àiqíngpiàn	N	love story or romance movie (愛情, àiqíng, love)
B4L01-I-14	嚇	xià	Vp	to be scared
B4L01-I-15	哭	kū	V	to cry
B4L01-I-16	上癮	shàngyǐn	Vp	to get hooked on, addicted
B4L01-I-17	刺激	cìjī	Vs	stimulating
B4L01-I-18	簡直	jiǎnzhí	Adv	simply, really
B4L01-I-19	膽子	dǎnzi	N	guts, courage
B4L01-I-20	部	bù	M	measure word for movies
B4L01-I-21	限制級	xiànzhìjí	N	restricted (viewing for movies, 限制, xiànzhì, restricted; 級, jí, level)
B4L01-I-22	電影院	diànyǐngyuàn	N	cinema, movie theater
B4L01-I-23	呃	è	Ptc	uh, interjection indicating embarrassment
B4L01-I-24	建設公司	jiànshè gōngsī		construction company
B4L01-I-25	業務經理	yèwù jīnglǐ		business manager
B4L01-I-26	室內設計	shìnèi shèjì		interior design
B4L01-II-01	溫暖	wēnuǎn	Vs	warm
B4L01-II-02	目前	mùqián	Adv	currently
B4L01-II-03	所	suǒ	M	measure word for schools
B4L01-II-04	就讀	jiùdú	Vi	to be enrolled as a student
B4L01-II-05	不至於	búzhìyú	Adv	not so, not to that degree, not so much that
B4L01-II-06	但	dàn	Conj	but, however (formal)
B4L01-II-07	放學	fàngxué	Vp	after school, when school lets out
B4L01-II-08	後	hòu		afterwards; formal
B4L01-II-09	解決	jiějué	V	to take care
B4L01-II-10	寂寞	jímò	Vs	lonely
B4L01-II-11	網友	wǎngyǒu	N	online friends
B4L01-II-12	陪伴	péibàn	V	to keep somebody company
B4L01-II-13	電腦	diànnǎo	N	computer
B4L01-II-14	進入	jìnrù	V	to enter
B4L01-II-15	線上	xiànshàng	N	online
B4L01-II-16	感情	gǎnqíng	N	emotions, feelings, love
B4L01-II-17	小氣	xiǎoqì	Vs	to be stingy
B4L01-II-18	時	shí	N	when (formal)
B4L01-II-19	往往	wǎngwǎng	Adv	oftentimes
B4L01-II-20	打氣	dǎqì	Vi	to cheer on/up
B4L01-II-21	安慰	ānwèi	V	to comfort
B4L01-II-28	心理	xīnlǐ	N	in (one's) mind
B4L01-II-23	大膽	dàdǎn	Vs	to be bold, courageous
B4L01-II-24	紓解	shūjiě	V	to relieve
B4L01-II-25	轉換	zhuǎnhuàn	V	to change, transform
B4L01-II-26	虛擬	xūnnǐ	Vs-attr	virtual
B4L01-II-27	現實	xiànshí	Vs	actual, real
B4L01-II-29	即使	jíshǐ	Conj	even if, even though
B4L01-II-30	責備	zébèi	V	to reproach, get on somebody's case
B4L01-II-31	期待	qídài	N	expectations
B4L01-II-32	喘氣	chuǎnqì	V-sep	to gasp, pant
B4L01-II-33	自在	zìzài	Vs	to be at ease, relaxed
B4L01-II-34	交友	jiāoyǒu	Vi	to make friends (with)
B4L01-II-35	暴力	bàolì	N	violence
B4L01-II-36	點	diǎn	V	to click (on)
B4L01-II-37	懂得	dǒngde	Vst	to know how to
B4L01-II-38	陷阱	xiànjǐng	N	trap, snare
B4L01-II-39	明星高中	míngxīnggāozhōng		distinguished, exclusive high school
B4L01-II-40	造出晚歸	zǎochūwǎnguī		to leave home early, and get home late
B4L01-II-41	打開	dǎkāi		to turn on, to power on
B4L01-II-42	喘不過氣	chuǎnbúguò qì		to be under great pressure (lit., unable to breath)
B4L01-II-43	躲進	duǒjìn		to hide oneself in
B4L01-II-44	掉進	diàojìn		to fall into
B4L02-I-01	李雲真	Lǐ Yúnzhēn		Li Yunzhen, female
B4L02-I-02	眼睛	yǎnjīng	N	eye
B4L02-I-03	耳朵	ěrduo	N	ear
B4L02-I-04	饗宴	xiǎngyàn	N	feast
B4L02-I-05	打扮	dǎbàn	V	to put on makeup
B4L02-I-06	音樂廳	yīnyuètīng	N	music hall, concert hall (廳 -tīng, hall)
B4L02-I-07	表演	biǎoyǎn	N/V	performance; to perform
B4L02-I-08	整齊	zhěngqí	Vs	neat
B4L02-I-09	穿著	chuānzhuó	N	attire
B4L02-I-10	丟臉	diūliǎn	Vs-sep	to lose face, to be embarrased
B4L02-I-11	短褲	duǎnkù	N	shorts
B4L02-I-12	涼鞋	liángxié	N	sandals
B4L02-I-13	擋	dǎng	V	to block
B4L02-I-14	演出者	yǎnchūzhě	N	performer (演出 yǎnchū, to perform; 者 zhě, person)
B4L02-I-15	尊重	zūnzhòng	Vst	to respect
B4L02-I-16	社交	shèjiāo	N	socialization
B4L02-I-17	免得	miǎnde	Conj	lest, so as not to, to avoid
B4L02-I-18	中場	zhōngchǎng	N	intermission
B4L02-I-19	準時	zhǔnshí	Vs	to be punctual, on time
B4L02-I-20	禮貌	lǐmào	N	courtesy
B4L02-I-21	或	huò	Conj	or (formal)
B4L02-I-22	熟	shóu	Vs	to be familiar with, to be close to somebody
B4L02-I-23	提	tí	V	to bring up, mention
B4L02-I-24	咳嗽	kèsòu	Vi	to cough
B4L02-I-25	關	guān	V	to close, shut off
B4L02-I-26	哇	wa	Ptc	yikes, oh no
B4L02-I-27	水準	shuǐzhǔn	N	class, cultural standard
B4L02-I-28	手冊	shǒucè	N	program, manual
B4L02-I-29	洗手間	xǐshǒujiān	N	restroom (間 -jiān, part of fángjiān, room)
B4L02-I-30	提醒	tíxǐng	V	to remind
B4L02-I-31	響	xiǎng	Vp	to sound
B4L02-I-32	糟	zāo	Vs	awful
B4L02-I-33	噓	xū	Ptc	Shh, to hush
B4L02-I-34	看不成	kànbùchéng		to miss out
B4L02-I-35	聯絡感情	liánluò gǎnqíng		to get to know each other better to strengthen ties with each other
B4L02-I-36	擤鼻涕	xǐng bítì		to blow one's nose
B4L02-II-01	場	chǎng	M	measure word for performances
B4L02-II-02	強調	qiángdiào	V	to stress
B4L02-II-03	團體	tuántǐ	N	group
B4L02-II-04	千萬	qiānwàn	Adv	by all means
B4L02-II-05	鋼琴	gāngqín	N	piano
B4L02-II-06	小提琴	xiǎotíqín	N	violin
B4L02-II-07	古典	gǔdiǎn	Vs	classical
B4L02-II-08	畫家	huàjiā	N	painter
B4L02-II-09	畫	huà	V/N	to paint, painting
B4L02-II-10	舞蹈	wǔdào	N	dance
B4L02-II-11	文學	wénxué	N	literature
B4L02-II-12	繪畫	huìhuà	N	(act of) painting, drawing
B4L02-II-13	等	děng	Ptc	etc., and so forth
B4L02-II-14	寺廟	sìmiào	N	temple
B4L02-II-15	表現	biǎoxiàn	V/N	to manifest, express; manifestation, expression
B4L02-II-16	之	zhī	Ptc	of (from Classical Chinese, roughly equivalent to the modern Chinese 的)
B4L02-II-17	劇情	jùqíng	N	story, plot, storyline
B4L02-II-18	導演	dǎoyǎn	N	director (movies)
B4L02-II-19	所	suǒ	Ptc	a verbal marker marking what comes after a verb)
B4L02-II-20	紅	hóng	Vs	popular (of an actress or singer)
B4L02-II-21	明星	míngxīng	N	movie stars
B4L02-II-22	演技	yǎnjì	N	acting skills
B4L02-II-23	得	dé	Vpt	to get, obtain, receive
B4L02-II-24	獎	jiǎng	N	award
B4L02-II-25	廣場	guǎngchǎng	N	plaza
B4L02-II-26	或	huò	Conj	or
B4L02-II-27	仔細	zǐxì	Adv	carefully, attentively
B4L02-II-28	留意	liúyì	Vst	to pay attention, take note of
B4L02-II-29	處處	chùchù	Adv	everywhere
B4L02-II-30	滿足	mǎnzú	Vst	to satisfy
B4L02-II-31	豐盛	fēngshèng	Vs	sumptuous, abundant
B4L02-II-32	國家戲劇院	Guójiā Xìjùyuàn		National Theater
B4L02-II-33	雲門舞集	Yúnmén Wǔjí		Cloud Gate Dance Theatre
B4L02-II-34	國家音樂廳	Guójiā Yīnyuètīng		National Concert Hall
B4L02-II-35	金馬影展	Jīnmǎ Yǐngzhǎn		Golden Horse Film Festival
B4L02-II-36	現代舞	xiàndài wǔ		modern dance
B4L02-II-37	無人不知，無人不曉	wúrén bùzhī, wúrénbùxiǎo		known to all
B4L02-II-38	百聞不如一見	bǎiwén bùrú yíjiàn		seeing it once
B4L02-II-39	老街	lǎojiē		old street
B4L02-II-40	街頭藝術	jiētóu yìshù		street art
B4L02-II-41	裝置藝術	zhuāngzhì yìshù		installation art
B4L02-II-42	填飽	tiánbǎo		to fill one's belly
B4L02-II-43	口服之慾	kǒufù zhīyù		the desire of one's palace
B4L03-I-01	李文麗	Lǐ Wénlì		Li Wenlli, female
B4L03-I-02	外婆	wàipó	N	grandma
B4L03-I-03	女裝	nǚzhuāng	N	women's apparel
B4L03-I-04	何必	hébì	Adv	Why bother..., Why must?
B4L03-I-05	指	zhǐ	Vst	to mean, to indicate
B4L03-I-06	划算	huásuàn	Vs	cost effective, a good deal
B4L03-I-07	身材	shēncái	N	figure, build, body (shape)
B4L03-I-08	模特兒	mótèr	N	model
B4L03-I-09	不見得	bújiàndé	Adv	not necessarily
B4L03-I-10	仿冒品	fǎngmàopǐn	N	knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)
B4L03-I-11	瑕疵	xiácī	N	defect
B4L03-I-12	圖片	túpiàn	N	picture
B4L03-I-13	落差	luòchā	N	difference
B4L03-I-14	提供	tígōng	V	to offer
B4L03-I-15	資訊	zīxùn	N	information
B4L03-I-16	疑問	yíwèn	N	question, doubt
B4L03-I-17	嘛	ma	Ptc	"sentence particle, ""it is obvious that"""
B4L03-I-18	慣	guàn	Ptc	to get used to, accustomed to etc...
B4L03-I-19	瀏覽	liúlǎn	V	to browse, surf (the Internet)
B4L03-I-20	後悔	hòuhuǐ	Vs	to regret, feel sorrowful about
B4L03-I-21	深夜	shēnyè	N	late at night, in the wee hours
B4L03-I-22	任何	rènhé	Det	any
B4L03-I-23	駭客	hàikè	N	hacker
B4L03-I-24	盜用	dàoyòng	V	to hack, to illegitimately use
B4L03-I-25	認證	rènzhèng	V/N	to certify, certification
B4L03-I-26	銀髮族	yínfázú	N	senior citizens, seniors (銀 yín, silver; 髮 -fǎ, hair)
B4L03-I-27	從前	cóngqián	N	in the past, formerly
B4L03-I-28	通常	tōngcháng	Adv	generally, as a rule
B4L03-I-29	取貨	qǔhuò	V-sep	to pick up goods
B4L03-I-30	付款	fùkuǎn	V-sep	to make payments
B4L03-I-31	雲端科技	yúnduān kējì		cloud/Internet technology
B4L03-I-32	宅經濟	zháijīngjì		online economy
B4L03-I-33	用不慣	yòngbúguàn		not used/accustomed to using, not comfortable with
B4L03-I-34	退還	tuì huàn		to return, to exchange for something else
B4L03-I-35	信用卡	xìnyòng kǎ		credit card
B4L03-II-01	縮短	suōduǎn	Vpt	to shorten
B4L03-II-02	人們	rénmen	N	people in general
B4L03-II-03	距離	jùlí	N	distance
B4L03-II-04	取代	qǔdài	V	to replace
B4L03-II-05	信	xìn	N	letter, mail
B4L03-II-06	影集	yǐngjí	N	(TV) series
B4L03-II-07	取得	qǔdé	V	to obtain, access
B4L03-II-08	例如	lìrú	Vst	for example
B4L03-II-09	民眾	mínzhòng	N	the public, people in general
B4L03-II-10	高速公路	gāosù gōnglù	N	highway, freeway
B4L03-II-11	前	qián	N	before (formal)
B4L03-II-12	查詢	cháxún	V	to look up, check
B4L03-II-13	路況	lùkuàng	N	road situation, traffic situation
B4L03-II-14	避開	bìkāi	V	to avoid
B4L03-II-15	路段	lùduàn	N	section of road
B4L03-II-16	若	ruò	Conj	if, supposing
B4L03-II-17	運用	yùnyòng	V	to use, employ
B4L03-II-18	病歷	bìnglì	N	medical records
B4L03-II-19	例子	lìzi	N	example
B4L03-II-20	更加	gèngjiā	Adv	even more
B4L03-II-21	原本	yuánběn	Adv	orginally
B4L03-II-22	忙碌	mánglù	Vs	busy
B4L03-II-23	確實	quèshí	Adv	indeed
B4L03-II-24	控制	kòngzhì	V	to control
B4L03-II-25	表弟	biǎodì	N	cousin (younger male cousin from one's mother's side as well as from one's father's sisters)
B4L03-II-26	退步	tuìbù	Vp	to regress, get worse, fall behind
B4L03-II-27	過度	guòdù	Adv	overly, excessively
B4L03-II-28	與	yǔ	Conj	and (formal)
B4L03-II-29	生理	shēnglǐ	N	physical health
B4L03-II-30	盯	dīng	V	to stare
B4L03-II-31	螢幕	yíngmù	N	screen, monitor
B4L03-II-32	疲倦	píjuàn	Vs	tired, fatigued
B4L03-II-33	視力	shìllì	N	vision, eyesight
B4L03-II-34	家長	jiāzhǎng	N	parent
B4L03-II-35	此外	cǐwài	Conj	in addition
B4L03-II-36	戶外	hùwài	N	outdoor
B4L03-II-37	人類	rénlèi	N	mankind, humans
B4L03-II-38	正面	zhèngmiàn	Vs	positive
B4L03-II-39	同時	tóngshí	Adv	at the same time
B4L03-II-40	負面	fùmiàn	Vs	negative
B4L03-II-41	沉迷	chénmí	Vs	to be obsessed with, wallow in
B4L03-II-42	無形中	wúxíng zhōng		imperceptibly
B4L03-II-43	遠距教學	yuǎnjù jiāoxué		distance learning
B4L03-II-44	大吵大鬧	dàchǎo dànào		to kick up a row, make a scene, scream bloody murder
B4L03-II-45	焦慮不安	jiāolǜ bù'ān		to be anxious
B4L03-II-46	總而言之	zǒng'ér yǎnzhī		in conclusion, to sum up, in short
B4L04-I-01	該	gāi	Vaux	should, ought to
B4L04-I-02	擺	bǎi	V	to place, display
B4L04-I-03	總算	zǒngsuàn	Adv	finally
B4L04-I-04	欸	èi	Ptc	hey, calling attention
B4L04-I-05	呀	yā	Ptc	particle indicating uncertainty
B4L04-I-06	衣櫥	yīchú	N	closet
B4L04-I-07	梳妝台	shūzhuāngtái	N	dressing table
B4L04-I-08	位置	wèizhì	N	position, location
B4L04-I-09	空間	kōngjiān	N	space
B4L04-I-10	科學	kēxué	N	science
B4L04-I-11	風水師	fēngshuǐshī	N	Feng Shui master, geomancer (風水 fēngshuǐ, Feng Shui; 師 -shī, master)
B4L04-I-12	在意	zàiyì	Vs	to care about
B4L04-I-13	所謂	suǒwèi	V	so-called, what is known as
B4L04-I-14	角度	jiǎodù	N	angle, perspective
B4L04-I-15	改造	gǎizào	V	to transform, restructure
B4L04-I-16	學問	xuéwèn	N	a branch of learning
B4L04-I-17	居住	jūzhù	Vi	to live, reside
B4L04-I-18	日常	rìcháng	Vs-attr	daily
B4L04-I-19	布置	bùzhì	N/V	decor, layout, arrangement; to decorate, to arrange furniture
B4L04-I-20	凶猛	xiōngměng	Vs	fierce, ferocious
B4L04-I-21	動物	dòngwù	N	animal
B4L04-I-22	刀	dāo	N	knife
B4L04-I-23	劍	jiàn	N	sword
B4L04-I-24	脾氣	píqì	N	temper
B4L04-I-25	暴躁	bàozào	Vs	cranky, irritable
B4L04-I-26	衝動	chōngdòng	Vs	impulsive, rash
B4L04-I-27	鏡子	jìngzi	N	mirror
B4L04-I-28	床脚	chuángjiǎo	N	foot of the bed
B4L04-I-29	光	guāng	Adv	alone, merely
B4L04-I-30	擺飾	bǎishì	N	decor, ornaments
B4L04-I-31	老婆	lǎopó	N	wife
B4L04-I-32	把	bǎ	M	measure for objects that can be grasped or objects with a handle, e.g., umbrella, knife
B4L04-I-33	欺負	qīfù	V	to pick on, bully, take advantage of
B4L04-I-34	風水學	Fēngshuǐxué		the study of Feng Shui, geomancy (學 -xué, study, -ology)
B4L04-I-35	正對門	zhèng duì mén		directly facing the door
B4L04-I-36	譬如說	pìrú shuō		for example
B4L04-I-37	一口氣	yì kǒu qì		in one breath
B4L04-I-38	死定了	sǐdìngle		(You're) a dead man; You're toast
B4L04-II-01	地理	dìlǐ	N	geography
B4L04-II-02	便利性	biànlìxìng	N	convenience (性 -xìng, property, suffix indicating that a term is a noun)
B4L04-II-03	周邊	zhōubiān	N	surrounding, periphery
B4L04-II-04	住宅	zhùzhái	N	residence
B4L04-II-05	詞	cí	N	term, word
B4L04-II-06	西元	Xīyuán		A.D.
B4L04-II-07	推翻	tuīfān	V	to repudiate, overturn
B4L04-II-08	心中	xīnzhōng	N	in somebody's heart
B4L04-II-09	名言	míngyán	N	well-known saying
B4L04-II-10	建造	jiànzào	V	to build
B4L04-II-11	塑造	sùzào	V	to shape
B4L04-II-12	命運	mìngyùn	N	fate, destiny
B4L04-II-13	本身	běnshēn	N	itself, oneself
B4L04-II-14	地標	dìbiāo	N	landmark
B4L04-II-15	參考	cānkǎo	V/N	to make reference to; reference
B4L04-II-16	外觀	wàiguān	N	exterior, appearance
B4L04-II-17	疊	dié	V	to stack
B4L04-II-18	盆子	pénzi	N	basin
B4L04-II-19	斜	xié	Vs	slanted, tilted
B4L04-II-20	牆面	qiángmiàn	N	wall face
B4L04-II-21	聚寶盆	jùbǎopén	N	treasure basin, similar to a cornucopia but filled with treasure (聚 -jù, to gather; 寶 -bǎo, treasure; 盆 -pén, basin)
B4L04-II-22	角	jiǎo	N	corner
B4L04-II-23	龍	lóng	N	dragon
B4L04-II-24	古	gǔ	Vs-attr	ancient (formal)
B4L04-II-25	錢幣	qiánbì	N	coins, currency
B4L04-II-26	屋頂	wūdǐng	N	roof
B4L04-II-27	龜	guī	N	turtle, tortoise
B4L04-II-28	招財	zhāocái	Vi	to attract treasure
B4L04-II-29	側門	cèmén	N	side door, side gate
B4L04-II-30	遮雨棚	zhēyǔpéng	N	canopy, awning
B4L04-II-31	如意	rúyì		ruyi, scepter, s-shaped ornamental object that brings good luck
B4L04-II-32	設計	shèjì	N/V	design; to design
B4L04-II-33	偶然	ǒurán	Vs	random, accidental, chancy
B4L04-II-34	晉代	Jìn Dài		Jin Dynasty
B4L04-II-35	郭璞	Guō Pú		Guo Pu
B4L04-II-36	英國	Yīngguó		the UK
B4L04-II-37	邱吉爾	Qiūjí'ěr		Churchill
B4L04-II-38	信義路	Xìnyì Lù		Xinyi Road
B4L04-II-39	松智路	Sōngzhì Lu		Songzhi Road
B4L04-II-40	一命二運三風水	yímìng èryùn sānfēngshuǐ		Fate is most important. Luck is second. Feng Shui is third.
B4L04-II-41	加起來	jiāqǐlái		to add up, totalize
B4L04-II-42	要錢龜	yǎoqián guī		money-biting turtle
B4L04-II-43	十全十美	shíquán shíměi		perfect, pinnacle of perfection
B4L05-I-01	夢	mèng	N	dream
B4L05-I-02	排隊	páiduì	V-sep	to line up, stand in queue
B4L05-I-03	校刊	xiàokān	N	school newspaper, school publications of all sorts
B4L05-I-04	採訪	cǎifǎng	V	to interview
B4L05-I-05	校友	xiàoyǒu	N	alumnus
B4L05-I-06	博士	bóshì	N	doctorate, PhD
B4L05-I-07	學位	xuéwèi	N	academic degree
B4L05-I-08	考	kǎo	V	to take a test
B4L05-I-09	司機	sījī	N	driver, chauffeur
B4L05-I-10	學士	xuéshì	N	bachelor's, college degree
B4L05-I-11	地攤	dìtān	N	street stall
B4L05-I-12	現象	xiànxiàng	N	phenomenon
B4L05-I-13	稀奇	xīqí	Vs	rare (and unique), singular
B4L05-I-14	搶	qiǎng	V	to rob, mug
B4L05-I-15	批評	pīpíng	V	to criticize
B4L05-I-16	浪費	làngfèi	Vst	to waste
B4L05-I-17	畢竟	bìjìng	Adv	after all
B4L05-I-18	貢獻	gòngxiàn	V	to make contributions
B4L05-I-19	的確	díquè	Adv	indeed
B4L05-I-20	盲目	mángmù	Adv	blindly
B4L05-I-21	升學	shēngxué	Vi	to pursue further education
B4L05-I-22	逃避	táobì	V	to evade, escape
B4L05-I-23	就業	jiùyè	N/Vi	employment; to get a job
B4L05-I-24	延後	yánhòu	V	to postpone
