ID	Traditional	Pinyin	POS	Meaning	Tags	Audio
B2L06-II-17	放心	fàngxīn	Vs-sep	not to worry, to rest assured		[sound:B2.06-04.017.mp3]
B2L06-II-18	用	yòng	V	to use		[sound:B2.06-04.018.mp3]
B2L06-II-19	首爾	Shǒu'ěr		Seoul		[sound:B2.06-04.019.mp3]
B2L07-I-01	垃圾	lèsè	N	garbage		[sound:B2.07-02.001.mp3]
B2L07-I-02	倒	dào	V	to throw out (garbage)		[sound:B2.07-02.002.mp3]
B2L07-I-03	丟	diū	V	to throw, to throw away (garbage)		[sound:B2.07-02.003.mp3]
B2L07-I-04	收	shōu	V	to collect		[sound:B2.07-02.004.mp3]
B2L07-I-05	以為	yǐwéi	Vst	to assume wrongly		[sound:B2.07-02.005.mp3]
B2L07-I-06	回收	huíshōu	V	to recycle		[sound:B2.07-02.006.mp3]
B2L07-I-07	規定	guīdìng	N	rules, regulation		[sound:B2.07-02.007.mp3]
B2L07-I-08	要不然	yàobùrán	Conj	otherwise		[sound:B2.07-02.008.mp3]
B2L07-I-09	皮包	píbāo	N	purse		[sound:B2.07-02.009.mp3]
B2L07-I-10	跑	pǎo	Vi	to run		[sound:B2.07-02.010.mp3]
B2L07-I-11	追	zhuī	V	to run after, to chase		[sound:B2.07-02.011.mp3]
B2L07-I-12	有趣	yǒuqù	Vs	interesting		[sound:B2.07-02.012.mp3]
B2L07-I-13	不壞	bú huài	Vs	not too bad		[sound:B2.07-02.013.mp3]
B2L07-I-14	天天	tiāntiān		everyday		[sound:B2.07-02.014.mp3]
B2L07-I-15	汽水罐	qìshuǐ guàn		soda can		[sound:B2.07-02.015.mp3]
B2L07-I-16	紙杯	zhǐbēi		paper cup		[sound:B2.07-02.016.mp3]
B2L07-I-17	放下	fàngxià		put down		[sound:B2.07-02.017.mp3]
B2L07-I-18	走出來	zǒu chūlái		to walk out of		[sound:B2.07-02.018.mp3]
B2L07-I-19	怎麼辦	zěnmebàn		What now?		[sound:B2.07-02.019.mp3]
B2L07-II-01	聊	liáo	V	to chat (about)		[sound:B2.07-04.001.mp3]
B2L07-II-02	忽然	hūrán	Adv	suddenly		[sound:B2.07-04.002.mp3]
B2L07-II-03	聲音	shēngyīn	N	sound		[sound:B2.07-04.003.mp3]
B2L07-II-04	奇怪	qíguài	Vs	strange, odd		[sound:B2.07-04.004.mp3]
B2L07-II-05	袋子	dàizi	N	bag		[sound:B2.07-04.005.mp3]
B2L07-II-06	輛	liàng	M	measure word for vehicles		[sound:B2.07-04.006.mp3]
B2L07-II-07	一定	yídìng	Vs-attr	fixed, set, at a certain...		[sound:B2.07-04.007.mp3]
B2L07-II-08	地點	dìdiǎn	N	location		[sound:B2.07-04.008.mp3]
B2L07-II-09	為了	wèile	Prep	to, for the sake of		[sound:B2.07-04.009.mp3]
B2L07-II-10	保護	bǎohù	V	to protect		[sound:B2.07-04.010.mp3]
B2L07-II-11	分類	fēnlèi	N	classification		[sound:B2.07-04.011.mp3]
B2L07-II-12	利用	lìyòng	V	to make use of		[sound:B2.07-04.012.mp3]
B2L07-II-13	紙	zhǐ	N	paper		[sound:B2.07-04.013.mp3]
B2L07-II-14	瓶子	píngzi	N	bottle		[sound:B2.07-04.014.mp3]
B2L07-II-15	塑膠	sùjiāo	N	plastic		[sound:B2.07-04.015.mp3]
B2L07-II-16	資源	zīyuán	N	resource		[sound:B2.07-04.016.mp3]
B2L07-II-17	回收桶	huíshōutǒng	N	recycling bin		[sound:B2.07-04.017.mp3]
B2L07-II-18	城市	chéngshì	N	city		[sound:B2.07-04.018.mp3]
B2L07-II-19	聽見	tīngjiàn		to hear, to have heard		[sound:B2.07-04.019.mp3]
B2L07-II-20	開過來	kāi guòlái		to drive over		[sound:B2.07-04.020.mp3]
B2L07-II-21	走過去	zǒu guòqù		to walk over		[sound:B2.07-04.021.mp3]
B2L07-II-22	丟進去	diū jìnqù		to throw into		[sound:B2.07-04.022.mp3]
B2L07-II-23	路上	lùshàng		on the street		[sound:B2.07-04.023.mp3]
B2L08-I-01	功夫	gōngfū	N	kungfu, martial arts		[sound:B2.08-02.001.mp3]
B2L08-I-02	叫	jiào	V	to call (for someone's attention)		[sound:B2.08-02.002.mp3]
B2L08-I-03	見	jiàn	Ptc	accomplishment complete (in perception)		[sound:B2.08-02.003.mp3]
B2L08-I-04	推	tuī	V	to push		[sound:B2.08-02.004.mp3]
B2L08-I-05	體育館	tǐyùguǎn	N	gym		[sound:B2.08-02.005.mp3]
B2L08-I-06	太極拳	tàijíquán	N	Tai Chi, shadow boxing		[sound:B2.08-02.006.mp3]
B2L08-I-07	師父	shīfù	N	(kungfu or other skill) master		[sound:B2.08-02.007.mp3]
B2L08-I-08	天分	tiānfèn	N	gift, talent		[sound:B2.08-02.008.mp3]
B2L08-I-09	懂	dǒng	Vpt	to understand, to comprehend		[sound:B2.08-02.009.mp3]
B2L08-I-10	起來	qǐlái	Vp	to wake up		[sound:B2.08-02.010.mp3]
B2L08-I-11	動作	dòngzuò	N	movement		[sound:B2.08-02.011.mp3]
B2L08-I-12	輕	qīng	Vs	light, effortless, gentle		[sound:B2.08-02.012.mp3]
B2L08-I-13	腿	tuǐ	N	leg		[sound:B2.08-02.013.mp3]
B2L08-I-14	了	liǎo	Ptc	capability complement		[sound:B2.08-02.014.mp3]
B2L08-I-15	下去	xiàqù	Ptc	a temporal particle meaning to continue with an action		[sound:B2.08-02.015.mp3]
B2L08-I-16	興趣	xìngqù	N	interest		[sound:B2.08-02.016.mp3]
B2L08-I-17	借	jiè	V	to borrow		[sound:B2.08-02.017.mp3]
B2L08-I-18	有天分	yǒu tiānfèn		to be gifted, talented		[sound:B2.08-02.018.mp3]
B2L08-I-19	學會	xuéhuì		to learn, to master		[sound:B2.08-02.019.mp3]
B2L08-I-20	起不來	qǐ bù lái		can't get up (from bed)		[sound:B2.08-02.020.mp3]
B2L08-I-21	走不了路	zǒu bù liǎo lù		can't walk		[sound:B2.08-02.021.mp3]
B2L08-II-01	好處	hǎochù	N	benefit		[sound:B2.08-04.001.mp3]
B2L08-II-02	抱怨	bàoyuàn	Vi	to complain		[sound:B2.08-04.002.mp3]
B2L08-II-03	公尺	gōngchǐ	N	meter		[sound:B2.08-04.003.mp3]
B2L08-II-04	總是	zǒngshì	Adv	always, invariably		[sound:B2.08-04.004.mp3]
B2L08-II-05	完	wán	Ptc	phase marker for 'completion', to finish...		[sound:B2.08-04.005.mp3]
B2L08-II-06	體力	tǐlì	N	physical strength		[sound:B2.08-04.006.mp3]
B2L08-II-07	整天	zhěngtiān	N	an entire day		[sound:B2.08-04.007.mp3]
B2L08-II-08	精神	jīngshén	N	spirit, energy		[sound:B2.08-04.008.mp3]
B2L08-II-09	本來	běnlái	Adv	originally		[sound:B2.08-04.009.mp3]
B2L08-II-10	可能	kěnéng	Vaux	maybe, probably		[sound:B2.08-04.010.mp3]
B2L08-II-11	回	huí	V	to return to		[sound:B2.08-04.011.mp3]
B2L08-II-12	影響	yǐngxiǎng	V	to influence, to interfere with		[sound:B2.08-04.012.mp3]
B2L08-II-13	身體	shēntǐ	N	body		[sound:B2.08-04.013.mp3]
B2L08-II-14	練	liàn	N	to practice, to train, to drill		[sound:B2.08-04.014.mp3]
B2L08-II-15	想起	xiǎngqǐ		to recall		[sound:B2.08-04.015.mp3]
B2L09-I-01	春假	chūnjià	N	spring break		[sound:B2.09-02.001.mp3]
B2L09-I-02	好	hǎo	Ptc	As a resultative particle, it indicates a proper completion of an action		[sound:B2.09-02.002.mp3]
B2L09-I-03	到	dào	Ptc	As a resultative particle, it indicates a successful completion of an action		[sound:B2.09-02.003.mp3]
B2L09-I-04	特色	tèsè	N	unique features, distinctive traits		[sound:B2.09-02.004.mp3]
B2L09-I-05	夠	gòu	Vs-pred	enough		[sound:B2.09-02.005.mp3]
B2L09-I-06	顏色	yánsè	N	color		[sound:B2.09-02.006.mp3]
B2L09-I-07	廟	miào	N	temple		[sound:B2.09-02.007.mp3]
B2L09-I-08	像	xiàng	Vst	similar to		[sound:B2.09-02.008.mp3]
B2L09-I-09	教堂	jiàotáng	N	church, cathedral		[sound:B2.09-02.009.mp3]
B2L09-I-10	南部	nánbù	N	southern region		[sound:B2.09-02.010.mp3]
B2L09-I-11	潛水	qiánshuǐ	V-sep	to dive (i.e., snorkel or scuba diving)		[sound:B2.09-02.011.mp3]
B2L09-I-12	各	gè	Det	various		[sound:B2.09-02.012.mp3]
B2L09-I-13	魚	yú	N	fish		[sound:B2.09-02.013.mp3]
B2L09-I-14	酸	suān	Vs	sour, tart		[sound:B2.09-02.014.mp3]
B2L09-I-15	檸檬	níngméng	N	lemon, lime		[sound:B2.09-02.015.mp3]
B2L09-I-16	味道	wèidào	N	taste, flavor		[sound:B2.09-02.016.mp3]
B2L09-I-17	泰國	Tàiguó		Thailand	Place	[sound:B2.09-02.017.mp3]
B2L09-I-18	比起來	bǐ qǐlái		compared to		[sound:B2.09-02.018.mp3]
B2L09-I-19	極了	jí le		absolutely, extremely		[sound:B2.09-02.019.mp3]
B2L09-I-20	忘不了	wàng bù liǎo		unforgettable		[sound:B2.09-02.020.mp3]
B2L09-II-01	鄉下	xiāngxià	N	countryside		[sound:B2.09-04.001.mp3]
B2L09-II-02	氣氛	qìfēn	N	atmosphere		[sound:B2.09-04.002.mp3]
B2L09-II-03	鎮	zhèn	N	rural town		[sound:B2.09-04.003.mp3]
B2L09-II-04	不同	bùtóng	Vs	different		[sound:B2.09-04.004.mp3]
B2L09-II-05	現代	xiàndài	N	modern		[sound:B2.09-04.005.mp3]
B2L09-II-06	公寓	gōngyù	N	apartment		[sound:B2.09-04.006.mp3]
B2L09-II-07	馬路	mǎlù	N	street		[sound:B2.09-04.007.mp3]
B2L09-II-08	寬	kuān	Vs	wide		[sound:B2.09-04.008.mp3]
B2L09-II-09	汽車	qìchē	N	car		[sound:B2.09-04.009.mp3]
B2L09-II-10	建築	jiànzhú	N	buildings		[sound:B2.09-04.010.mp3]
B2L09-II-11	老	lǎo	Vs	old		[sound:B2.09-04.011.mp3]
B2L09-II-12	層	céng	M	measure word for floors and storeys		[sound:B2.09-04.012.mp3]
B2L09-II-13	北部	běibù	N	the north		[sound:B2.09-04.013.mp3]
B2L09-II-14	熱情	rèqíng	Vs	hospitable, welcoming, warmhearted		[sound:B2.09-04.014.mp3]
B2L09-II-15	擠	jǐ	Vs	crowded		[sound:B2.09-04.015.mp3]
B2L09-II-16	飲料	yǐnliào	N	drink, beverage		[sound:B2.09-04.016.mp3]
B2L09-II-17	巴黎	Bālí		Paris	Place	[sound:B2.09-04.017.mp3]
B2L09-II-18	高雄市	Gāoxióng Shì		Kaohsiung City in southern Taiwan	Place	[sound:B2.09-04.018.mp3]
B2L09-II-19	中南部	zhōngnánbù		central and southern regions		[sound:B2.09-04.019.mp3]
B2L09-II-20	買得起	mǎi de qǐ		afford, affordable		[sound:B2.09-04.020.mp3]
B2L09-II-21	百貨公司	bǎihuò gōngsī		department store		[sound:B2.09-04.021.mp3]
B2L09-II-22	越來越	yuèláiyuè		more and more, increasingly		[sound:B2.09-04.022.mp3]
B2L10-I-01	馬丁	Mǎdīng		Martin, a man from the UK		[sound:B2.10-02.001.mp3]
B2L10-I-02	包	bāo	V	to wrap		[sound:B2.10-02.002.mp3]
B2L10-I-03	餃子	jiǎozi	N	dumplings		[sound:B2.10-02.003.mp3]
B2L10-I-04	脫	tuō	V	to remove, to take off (clothing)		[sound:B2.10-02.004.mp3]
B2L10-I-05	鞋	xié	N	shoes		[sound:B2.10-02.005.mp3]
B2L10-I-06	關	guān	V	to close		[sound:B2.10-02.006.mp3]
B2L10-I-07	門	mén	N	door		[sound:B2.10-02.007.mp3]
B2L10-I-08	春捲	chūnjuǎn	N	spring rolls		[sound:B2.10-02.008.mp3]
B2L10-I-09	泡菜	pàocài	N	kimchi, pickled vegetables		[sound:B2.10-02.009.mp3]
B2L10-I-10	飯廳	fàntīng	N	dining room		[sound:B2.10-02.010.mp3]
B2L10-I-11	下	xià	Ptc	to have enough space to accommodate		[sound:B2.10-02.011.mp3]
B2L10-I-12	洗	xǐ	V	to wash		[sound:B2.10-02.012.mp3]
B2L10-I-13	做菜	zuòcài	V-sep	to cook		[sound:B2.10-02.013.mp3]
B2L10-I-14	水餃	shuǐjiǎo	N	dumplings (when boiled in water)		[sound:B2.10-02.014.mp3]
B2L10-I-15	煮	zhǔ	V	to cook, to boil		[sound:B2.10-02.015.mp3]
B2L10-I-16	壞	huài	Vp	to go bad		[sound:B2.10-02.016.mp3]
B2L10-I-17	破	pò	Vp	to break, to split open		[sound:B2.10-02.017.mp3]
B2L10-I-18	餡兒	xiànr	N	filling		[sound:B2.10-02.018.mp3]
B2L10-I-19	扁	biǎn	Vs	flat		[sound:B2.10-02.019.mp3]
B2L10-I-20	材料	cáiliào	N	ingredients		[sound:B2.10-02.020.mp3]
B2L10-I-21	道	dào	M	measure word for dishes of food		[sound:B2.10-02.021.mp3]
B2L10-I-22	飽	bǎo	Vs	to have eaten enough, to be full		[sound:B2.10-02.022.mp3]
B2L10-I-23	光	guāng	Vp	to be finished, none left		[sound:B2.10-02.023.mp3]
B2L10-I-24	鍋子	guōzi	N	pot, kettle, pan, wok		[sound:B2.10-02.024.mp3]
B2L10-I-25	筷子	kuàizi	N	chopsticks		[sound:B2.10-02.025.mp3]
B2L10-I-26	碗	wǎn	N	bowl		[sound:B2.10-02.026.mp3]
B2L10-I-27	韓國	Hánguó		South Korea	Place	[sound:B2.10-02.027.mp3]
B2L10-I-28	看不出來	kàn bù chūlái		It does not occur to me that..., can't tell (i.e., ascertain)		[sound:B2.10-02.028.mp3]
B2L10-I-29	酸辣湯	suānlà tāng		hot and sour soup		[sound:B2.10-02.029.mp3]
B2L10-II-01	學期	xuéqí	N	semester (or school term)		[sound:B2.10-04.001.mp3]
B2L10-II-02	趁	chèn	Prep	while, take advantage of		[sound:B2.10-04.002.mp3]
B2L10-II-03	皮	pí	N	skin, wraps		[sound:B2.10-04.003.mp3]
B2L10-II-04	嚐	cháng	V	to savor, to taste		[sound:B2.10-04.004.mp3]
B2L10-II-05	大白菜	dàbáicài	N	Chinese cabbage		[sound:B2.10-04.005.mp3]
B2L10-II-06	加	jiā	V	to add		[sound:B2.10-04.006.mp3]
B2L10-II-07	鹽	yán	N	salt		[sound:B2.10-04.007.mp3]
B2L10-II-08	拌	bàn	V	to stir, to mix		[sound:B2.10-04.008.mp3]
B2L10-II-09	辣椒	làjiāo	N	chili peppers		[sound:B2.10-04.009.mp3]
B2L10-II-10	調味料	tiáowèiliào	N	seasonings		[sound:B2.10-04.010.mp3]
B2L10-II-11	裝	zhuāng	V	to pack into		[sound:B2.10-04.011.mp3]
B2L10-II-12	玻璃	bōlí	N	glass		[sound:B2.10-04.012.mp3]
B2L10-II-13	壽司	shòusī	N	sushi		[sound:B2.10-04.013.mp3]
B2L10-II-14	像	xiàng	Vst	such as; like		[sound:B2.10-04.014.mp3]
B2L10-II-15	食物	shíwù	N	food		[sound:B2.10-04.015.mp3]
B2L10-II-16	做起來	zuò qǐlái		when undertaken, to do		[sound:B2.10-04.016.mp3]
B2L11-I-01	其他	qítā	Det	other, the other, the remaining		[sound:B2.11-02.001.mp3]
B2L11-I-02	假期	jiàqí	N	vacation, holiday		[sound:B2.11-02.002.mp3]
B2L11-I-03	溫泉	wēnquán	N	hot springs		[sound:B2.11-02.003.mp3]
B2L11-I-04	建議	jiànyì	V	to suggest, to recommend		[sound:B2.11-02.004.mp3]
B2L11-I-05	票	piào	N	ticket		[sound:B2.11-02.005.mp3]
B2L11-I-06	考慮	kǎolǜ	V	to consider		[sound:B2.11-02.006.mp3]
B2L11-I-07	順便	shùnbiàn	Adv	without making any extra effort, on the way, while doing something else, while one is at it		[sound:B2.11-02.007.mp3]
B2L11-I-08	湖	hú	N	lake		[sound:B2.11-02.008.mp3]
B2L11-I-09	原住民	yuánzhùmín	N	aborigines		[sound:B2.11-02.009.mp3]
B2L11-I-10	趟	tàng	M	measure word for a trip		[sound:B2.11-02.010.mp3]
B2L11-I-11	後來	hòulái	Adv	later		[sound:B2.11-02.011.mp3]
B2L11-I-12	注意	zhùyì	V	to pay attention to		[sound:B2.11-02.012.mp3]
B2L11-I-13	沙灘	shātān	N	beach		[sound:B2.11-02.013.mp3]
B2L11-I-14	錢包	qiánbāo	N	wallet, purse		[sound:B2.11-02.014.mp3]
B2L11-I-15	不見	bújiàn	Vp	to be lost, to disappear		[sound:B2.11-02.015.mp3]
B2L11-I-16	被	bèi	Ptc	a particle marking a passive sentence		[sound:B2.11-02.016.mp3]
B2L11-I-17	偷	tōu	V	to steal		[sound:B2.11-02.017.mp3]
B2L11-I-18	安全	ānquán	Vs	safe		[sound:B2.11-02.018.mp3]
B2L11-I-19	值得	zhíde	Vs	worthwhile, worth		[sound:B2.11-02.019.mp3]
B2L11-I-20	墾丁	Kěndīng		Kenting, an area on the southern tip of Taiwan, famed for beaches and rain forest	Place	[sound:B2.11-02.020.mp3]
B2L11-I-21	台中	Táizhōng		Taichung city, in central Taiwan	Place	[sound:B2.11-02.021.mp3]
B2L11-I-22	日月潭	Rìyuè Tán		Sun Moon Lake, in central Taiwan	Place	[sound:B2.11-02.022.mp3]
B2L11-I-23	水上活動	shuǐshàng huódòng		water activities, water recreation		[sound:B2.11-02.023.mp3]
B2L11-I-24	風景區	fēngjǐngqū		scenic area		[sound:B2.11-02.024.mp3]
B2L11-II-01	又	yòu	Adv	then		[sound:B2.11-04.001.mp3]
B2L11-II-02	遍	biàn	M	measure word for number of times		[sound:B2.11-04.002.mp3]
B2L11-II-03	民宿	mínsù	N	Bed & Breakfast lodgings		[sound:B2.11-04.003.mp3]
B2L11-II-04	運氣	yùnqì	N	luck		[sound:B2.11-04.004.mp3]
B2L11-II-05	摩托車	mótuōchē	N	motorcycle		[sound:B2.11-04.005.mp3]
B2L11-II-06	熱帶	rèdài	N	tropical region		[sound:B2.11-04.006.mp3]
B2L11-II-07	植物	zhíwù	N	plants		[sound:B2.11-04.007.mp3]
B2L11-II-08	所有	suǒyǒu	Vs-attr	all		[sound:B2.11-04.008.mp3]
B2L11-II-09	白天	báitiān	N	in the daytime		[sound:B2.11-04.009.mp3]
B2L11-II-10	躺	tǎng	Vi	to lie down		[sound:B2.11-04.010.mp3]
B2L11-II-11	黃昏	huánghūn	N	dusk		[sound:B2.11-04.011.mp3]
B2L11-II-12	條	tiáo	M	measure word for street		[sound:B2.11-04.012.mp3]
B2L11-II-13	街	jiē	N	street		[sound:B2.11-04.013.mp3]
B2L11-II-14	啤酒	píjiǔ	N	beer		[sound:B2.11-04.014.mp3]
B2L11-II-15	上	shàng	Ptc	a verb particle indicating the coming into contact between two nouns		[sound:B2.11-04.015.mp3]
B2L11-II-16	又	yòu	Conj	and		[sound:B2.11-04.016.mp3]
B2L11-II-17	浪漫	làngmàn	Vs	romantic		[sound:B2.11-04.017.mp3]
B2L11-II-18	家鄉	jiāxiāng	N	hometown, usually a village		[sound:B2.11-04.018.mp3]
B2L11-II-19	觀光客	guānguāngkè		tourist		[sound:B2.11-04.019.mp3]
B2L11-II-20	曬太陽	shài tàiyáng		to sunbathe		[sound:B2.11-04.020.mp3]
B2L11-II-21	水上摩托車	shuǐshàng mótuōchē		jet skis		[sound:B2.11-04.021.mp3]
B2L11-II-22	愛上	àishàng		to fall in love with		[sound:B2.11-04.022.mp3]
B2L12-I-01	新	xīn	Adv	newly		[sound:B2.12-02.001.mp3]
B2L12-I-02	開	kāi	V	to open (business)		[sound:B2.12-02.002.mp3]
B2L12-I-03	素食	sùshí	N	vegetarian food		[sound:B2.12-02.003.mp3]
B2L12-I-04	速食	sùshí	N	fast food		[sound:B2.12-02.004.mp3]
B2L12-I-05	錯	cuò	Vp	to be mistaken, wrong		[sound:B2.12-02.005.mp3]
B2L12-I-06	肉	ròu	N	meat		[sound:B2.12-02.006.mp3]
B2L12-I-07	欸	èi	Ptc	an interjection particle, calling for attention		[sound:B2.12-02.007.mp3]
B2L12-I-08	讓	ràng	V	to let, to make		[sound:B2.12-02.008.mp3]
B2L12-I-09	吃素	chīsù	V-sep	to be a vegetarian, to eat vegetarian food		[sound:B2.12-02.009.mp3]
B2L12-I-10	漢堡	hànbǎo	N	hamburger		[sound:B2.12-02.010.mp3]
B2L12-I-11	變	biàn	Vp	to become		[sound:B2.12-02.011.mp3]
B2L12-I-12	胖	pàng	Vs	fat		[sound:B2.12-02.012.mp3]
B2L12-I-13	素菜	sùcài	N	vegetarian food, dishes		[sound:B2.12-02.013.mp3]
B2L12-I-14	油膩	yóunì	Vs	oily, greasy		[sound:B2.12-02.014.mp3]
B2L12-I-15	樣	yàng	M	measure word for dishes, kinds		[sound:B2.12-02.015.mp3]
B2L12-I-16	好奇	hàoqí	Vs	curious, to wonder		[sound:B2.12-02.016.mp3]
B2L12-I-17	女孩	nǚhái	N	girl		[sound:B2.12-02.017.mp3]
B2L12-I-18	青菜	qīngcài	N	vegetables		[sound:B2.12-02.018.mp3]
B2L12-I-19	瘦	shòu	Vs	thin		[sound:B2.12-02.019.mp3]
B2L12-I-20	室友	shìyǒu	N	roommate		[sound:B2.12-02.020.mp3]
B2L12-I-21	豬肉	zhūròu	N	pork		[sound:B2.12-02.021.mp3]
B2L12-I-22	西方	xīfāng	N	the West, western		[sound:B2.12-02.022.mp3]
B2L12-I-23	完全	wánquán	Adv	completely		[sound:B2.12-02.023.mp3]
B2L12-I-24	鹹	xián	Vs	salty		[sound:B2.12-02.024.mp3]
B2L12-I-25	炸	zhá	V	to deep fry		[sound:B2.12-02.025.mp3]
B2L12-I-26	烤	kǎo	V	to grill, to roast, to BBQ		[sound:B2.12-02.026.mp3]
B2L12-I-27	沙拉	shālā	N	salad		[sound:B2.12-02.027.mp3]
B2L12-I-28	麥當勞	Màidāngláo		McDonald's	Place	[sound:B2.12-02.028.mp3]
B2L12-I-29	速食店	sùshí diàn		fast food restaurant		[sound:B2.12-02.029.mp3]
B2L12-II-01	只要	zhǐyào	Conj	as long as		[sound:B2.12-04.001.mp3]
B2L12-II-02	討厭	tǎoyàn	Vst	to dislike		[sound:B2.12-04.002.mp3]
B2L12-II-03	餐	cān	M	measure word for meal		[sound:B2.12-04.003.mp3]
B2L12-II-04	宗教	zōngjiào	N	religion		[sound:B2.12-04.004.mp3]
B2L12-II-05	關係	guānxi	N	relationship		[sound:B2.12-04.005.mp3]
B2L12-II-06	薯條	shǔtiáo	N	French fries		[sound:B2.12-04.006.mp3]
B2L12-II-07	作法	zuòfǎ	N	way of doing something, e.g., cooking		[sound:B2.12-04.007.mp3]
B2L12-II-08	越	yuè	Adv	more		[sound:B2.12-04.008.mp3]
B2L12-II-09	簡單	jiǎndān	Vs	simple		[sound:B2.12-04.009.mp3]
B2L12-II-10	蒸	zhēng	V	to steam		[sound:B2.12-04.010.mp3]
B2L12-II-11	有機	yǒujī	Vs-attr	organic		[sound:B2.12-04.011.mp3]
B2L12-II-12	食品	shípǐn	N	food		[sound:B2.12-04.012.mp3]
B2L12-II-13	地球	dìqiú	N	the earth		[sound:B2.12-04.013.mp3]
B2L12-II-14	汙染	wūrǎn	N	pollution		[sound:B2.12-04.014.mp3]
B2L12-II-15	嚴重	yánzhòng	Vs	serious		[sound:B2.12-04.015.mp3]
B2L12-II-16	衛生	wèishēng	N	hygiene		[sound:B2.12-04.016.mp3]
B2L12-II-17	營養	yíngyǎng	N	nutrition		[sound:B2.12-04.017.mp3]
B2L12-II-18	什麼的	shénmede		things like (that); etc		[sound:B2.12-04.018.mp3]
B2L13-I-01	林愛麗	Lín Àilì		Lin Aili, a woman from Canada	People	[sound:B2.13-02.001.mp3]
B2L13-I-02	掉	diào	Vp	to lose		[sound:B2.13-02.002.mp3]
B2L13-I-03	低頭	dītóu	V-sep	to lower one's head		[sound:B2.13-02.003.mp3]
B2L13-I-04	傳	chuán	V	to send (text message, email)		[sound:B2.13-02.004.mp3]
B2L13-I-05	過	guò	Ptc	a phase particle indicating completion of an action		[sound:B2.13-02.005.mp3]
B2L13-I-06	簡訊	jiǎnxùn	N	text message		[sound:B2.13-02.006.mp3]
B2L13-I-07	功能	gōngnéng	N	function		[sound:B2.13-02.007.mp3]
B2L13-I-08	生氣	shēngqì	Vs-sep	to get angry at		[sound:B2.13-02.008.mp3]
B2L13-I-09	叫	jiào	V	to tell		[sound:B2.13-02.009.mp3]
B2L13-I-10	罵	mà	V	to yell at, to scold, to tell off		[sound:B2.13-02.010.mp3]
B2L13-I-11	健身房	jiànshēnfáng	N	gym		[sound:B2.13-02.011.mp3]
B2L13-I-12	啦	la	Ptc	a sentence-final particle indicating a question, 了+啊		[sound:B2.13-02.012.mp3]
B2L13-I-13	查	chá	V	to check, to look up (for information)		[sound:B2.13-02.013.mp3]
B2L13-I-14	班機	bānjī	N	flight		[sound:B2.13-02.014.mp3]
B2L13-I-15	訂位	dìngwèi	V-sep	to make reservations		[sound:B2.13-02.015.mp3]
B2L13-I-16	電	diàn	N	electric power		[sound:B2.13-02.016.mp3]
B2L13-I-17	充電	chōngdiàn	V-sep	to charge (the battery of an electronic device)		[sound:B2.13-02.017.mp3]
B2L13-I-18	糊塗	hútú	Vs	muddle-headed		[sound:B2.13-02.018.mp3]
B2L13-I-19	喔	ō	Ptc	a sentence-final particle indicating a suggestion		[sound:B2.13-02.019.mp3]
B2L13-I-20	義大利	Yìdàlì		Italy	Place	[sound:B2.13-02.020.mp3]
B2L13-I-21	拿走	názǒu		to take away		[sound:B2.13-02.021.mp3]
B2L13-I-22	撿到	jiǎndào		to find something, to pick up		[sound:B2.13-02.022.mp3]
B2L13-I-23	留下	liúxià		to keep for oneself		[sound:B2.13-02.023.mp3]
B2L13-II-01	網路	wǎnglù	N	the internet		[sound:B2.13-04.001.mp3]
B2L13-II-02	發生	fāshēng	Vp	to happen		[sound:B2.13-04.002.mp3]
B2L13-II-03	事情	shìqíng	N	event, happening		[sound:B2.13-04.003.mp3]
B2L13-II-04	消息	xiāoxí	N	news, information		[sound:B2.13-04.004.mp3]
B2L13-II-05	透過	tòuguò	Prep	through		[sound:B2.13-04.005.mp3]
B2L13-II-06	世界	shìjiè	N	the world		[sound:B2.13-04.006.mp3]
B2L13-II-07	節省	jiéshěng	V	to save		[sound:B2.13-04.007.mp3]
B2L13-II-08	起床	qǐchuáng	Vp-sep	to get out of bed		[sound:B2.13-04.008.mp3]
B2L13-II-09	檢查	jiǎnchá	V	to check		[sound:B2.13-04.009.mp3]
B2L13-II-10	郵件	yóujiàn	N	mail		[sound:B2.13-04.010.mp3]
B2L13-II-11	立刻	lìkè	Adv	immediately		[sound:B2.13-04.011.mp3]
B2L13-II-12	上傳	shàngchuán	V	to upload, to post		[sound:B2.13-04.012.mp3]
B2L13-II-13	正常	zhèngcháng	Vs	to be normal		[sound:B2.13-04.013.mp3]
B2L13-II-14	談	tán	V	to talk over, to talk about, to discuss		[sound:B2.13-04.014.mp3]
B2L13-II-15	現代人	xiàndài rén		modern day people, people today		[sound:B2.13-04.015.mp3]
B2L13-II-16	比方說	bǐfāng shuō		for example		[sound:B2.13-04.016.mp3]
B2L13-II-17	做到	zuòdào		to be able to achieve, to succeed in doing		[sound:B2.13-04.017.mp3]
B2L13-II-18	第一手	dìyīshǒu		first hand		[sound:B2.13-04.018.mp3]
B2L13-II-19	急著	jízhe		in a hurry to		[sound:B2.13-04.019.mp3]
B2L13-II-20	打招呼	dǎ zhāohū		to greet someone; to say hello; to wave at someone		[sound:B2.13-04.020.mp3]
B2L13-II-21	面對面	miàn duì miàn		face-to-face		[sound:B2.13-04.021.mp3]
B2L14-I-01	將來	jiānglái	N	the future		[sound:B2.14-02.001.mp3]
