//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
孔庙[孔廟]	Kǒngmiào	Confucian Temple
校外教学[校外教學]	xiàowài jiāoxué	(Ph) field trip, class excursion
碰到[碰到]	pèngdào	(Ph) to run into
水煎包[水煎包]	shuǐjiān bāo	(Ph) pan-fried pork bun
//當代中文/Book 3/L04-II
同事[同事]	tóngshì	(N) colleague, coworker
美食[美食]	měishí	(N) delicacies, delicious foods
上[上]	shàng	(V) to go up to
泡[泡]	pào	(V) to steep (tea), to soak oneself in, i.e., to bath in
错过[錯過]	cuòguò	(Vpt) to miss (an opportunity)
营业[營業]	yíngyè	(Vi) to open for business, in operation (businesses)
夜景[夜景]	yèjǐng	(N) night view
古老[古老]	gǔlǎo	(Vs) ancient, antiquated
古迹[古蹟]	gǔjī	(N) historical site
重视[重視]	zhòngshì	(Vst) to place emphasis on, to lay stress on, to value
历史[歷史]	lìshǐ	(N) history
风俗[風俗]	fēngsú	(N) customs
习惯[習慣]	xíguàn	(N) habit
道地[道地]	dàodì	(Vs) authentic
粥[粥]	zhōu	(N) congee, watery rice
讲究[講究]	jiǎngjiù	(Vst) to be discriminating in, to be discerning, meticulous
顿[頓]	dùn	(M) measure word for the duration of a meal
速度[速度]	sùdù	(N) speed
窄[窄]	zhǎi	(Vs) narrow
街道[街道]	jiēdào	(N) street
盖[蓋]	gài	(V) to build, to erect
待[待]	dāi	(Vi) to stay, to remain
欣赏[欣賞]	xīnshǎng	(V) to appreciate, to enjoy
美丽[美麗]	měilì	(Vs) beautiful
铃木[鈴木]	Língmù	Japanese last name: Lingmu (Japanese: Suzuki)
赤崁楼[赤崁樓]	Chìkǎn Lóu	Chihkan Tower, a.k.a. Fort Provintia (stronghold built by the Dutch, in Tainan, in the 17th century)
留下来[留下來]	liú xià lái	(Ph) to leave behind
木造[木造]	mù zào	(Ph) wooden; made from wood
非去不可[非去不可]	fēiqù bùkě	(Ph) Visiting (it) is a must!!
//當代中文/Book 3/L05-I
流行[流行]	liúxíng	(Vst) popular
唉[唉]	āi	(Ptc) Oh no! Oh boy!
演唱会[演唱會]	yǎnchànghuì	(N) concert
塞车[塞車]	sāichē	(Vs) net congestion, jam
上线[上線]	shàngxiàn	(V-sep) to log in, go online
成功[成功]	chénggōng	(Vp) to succeed
倒楣[倒楣]	dǎoméi	(Vs) out of luck, down on one's luck
乐团[樂團]	yuètuán	(N) (music) band
唱[唱]	chàng	(V) to sing
兴奋[興奮]	xīngfèn	(Vs) excited
迷[迷]	mí	(Vst) to be enamored with, be into, be enchanted by, be obsessed with
歌词[歌詞]	gēcí	(N) lyrics
难过[難過]	nánguò	(Vs) sad
不如[不如]	bùrú	(Vst) inferior to
现场[現場]	xiànchǎng	(N) live; lit. on-site
跳[跳]	tiào	(Vi) to jump
整[整]	zhěng	(Det) entire, whole
震动[震動]	zhèndòng	(Vi) to vibrate, to shake
漫画[漫畫]	mànhuà	(N) comics
内容[內容]	nèiróng	(N) content
色情[色情]	sèqíng	(Vs) pornographic; obscene
放松[放鬆]	fàngsōng	(Vst) to relax
心情[心情]	xīnqíng	(N) mood
五月天[五月天]	Wǔyuètiān	Mayday (name of a Taiwanese rock band)
算了[算了]	suàn le	(Ph) forget it; let it be!
受欢迎[受歡迎]	shòu huānyíng	(Ph) well-received; well-liked; popular
挤满[擠滿]	jǐmǎn	(Ph) crowded with, packed with
租书店[租書店]	zūshū diàn	(Ph) book rental store
平板电脑[平板電腦]	píngbǎn diànnǎo	(Ph) tablet computer
智慧型手机[智慧型手機]	zhìhuìxíng shǒujī	(Ph) smartphone
杀时间[殺時間]	shā shíjiān	(Ph) to kill time
漫画展[漫畫展]	mànhuà zhǎn	(Ph) comic (book) exhibition
来不及[來不及]	lái bù jí	(Ph) not be in time for, not make it on time
//當代中文/Book 3/L05-II
撞衫[撞衫]	zhuàngshān	(Vs) wardrobe clash, more than one person unintentionally wearing duplicate garments
它[它]	tā	(N) it
塞[塞]	sāi	(V) to stuff, cram, squeeze (into)
当季[當季]	dāngjì	(N) in season
款式[款式]	kuǎnshì	(N) style (of clothes)
连续剧[連續劇]	liánxùjù	(N) TV series
主角[主角]	zhǔjiǎo	(N) leading role, leading actor
甜美[甜美]	tiánměi	(Vs) sweet and cute, lovely
寄[寄]	jì	(V) to mail
居然[居然]	jūrán	(Adv) unexpectedly, counter to assumption
害[害]	hài	(V) adversely impacting somebody so that they...
既然[既然]	jìrán	(Conj) since, given that...
服装[服裝]	fúzhuāng	(N) clothing, garments
媒体[媒體]	méitǐ	(N) the media
方式[方式]	fāngshì	(N) method, ways
吸引[吸引]	xīyǐn	(Vst) to attract, to draw
避免[避免]	bìmiǎn	(V) to avoid
包包[包包]	bāobāo	(N) bag, purse
商人[商人]	shāngrén	(N) businessperson
产品[產品]	chǎnpǐn	(N) product
电子[電子]	diànzǐ	(N) electronics
市场[市場]	shìchǎng	(N) market
新型[新型]	xīnxíng	(Vs-attr) new style
落伍[落伍]	luòwǔ	(Vs) behind the times, passé, old-fashioned
知音[知音]	zhīyīn	(N) bosom buddy, confidant
想象[想像]	xiǎngxiàng	(V) to imagine
喇叭裤[喇叭褲]	lǎbākù	(N) bell-bottom pants
印象[印象]	yìnxiàng	(N) impression
游戏[遊戲]	yóuxì	(N) game
化妆[化妝]	huàzhuāng	(V-sep) to apply cosmetics, to make up
一模一样[一模一樣]	yìmó yíyàng	(Ph) identical
浅蓝色[淺藍色]	qiǎn lánsè	(Ph) light blue
脱掉[脫掉]	tuōdiào	(Ph) to take off (clothing)
小题大作[小題大作]	xiǎotí dàzuò	(Ph) to make a mountain out of a molehill, to make a big deal of nothing
推出[推出]	tuīchū	(Ph) to introduce, to roll out (products)
//當代中文/Book 3/L06-I
李文彦[李文彥]	Lǐ Wényàn	an American-born Chinese
表哥[表哥]	biǎogē	(N) cousin (older male cousin, from a female lineage)
随便[隨便]	suíbiàn	(Adv) as one pleases oneself, to act freely
种[種]	zhòng	(V) to grow (plants)
蔬菜[蔬菜]	shūcài	(N) vegetable
农夫[農夫]	nóngfū	(N) farmer
减少[減少]	jiǎnshǎo	(V) to reduce, to decrease
农药[農藥]	nóngyào	(N) pesticide
天然[天然]	tiānrán	(Vs-attr) natural
堆肥[堆肥]	duīféi	(N) compost
辛苦[辛苦]	xīnkǔ	(Vs) tough, hard, bitter (life, work, etc.)
地位[地位]	dìwèi	(N) position, status
收入[收入]	shōurù	(N) income
利润[利潤]	lìrùn	(N) profit
屋子[屋子]	wūzi	(N) house
番茄[番茄]	fānqié	(N) tomato
品种[品種]	pǐnzhǒng	(N) variety, species
气候[氣候]	qìhòu	(N) climate
长[長]	zhǎng	(Vi) to grow
熟[熟]	shóu	(Vp) to be ripe, to ripen
片[片]	piàn	(M) measure word for a stretch, swath (of land)
田[田]	tián	(N) field, plot of land, paddy
照顾[照顧]	zhàogù	(V) to take care of
敢[敢]	gǎn	(Vaux) to dare
条件[條件]	tiáojiàn	(N) terms, conditions, (here) good qualities (in a prospective spouse)
黑[黑]	hēi	(Vp) dark, black
摘下来[摘下來]	zhāi xiàlái	(Ph) to pluck, to pick (e.g., fruit from a tree)
做不动[做不動]	zuò bú dòng	(Ph) to be unable to physically function due to old age
基因改造[基因改造]	jīyīn gǎizào	(Ph) genetically modified
忙得过来[忙得過來]	máng de guòlái	(Ph) to be able to manage everything
开玩笑[開玩笑]	kāi wánxiào	(Ph) to joke, to kid
看天吃饭[看天吃飯]	kàntiān chīfàn	(Ph) livelihood depends on the whims of nature
//當代中文/Book 3/L06-II
小农[小農]	xiǎonóng	(N) small farmer
市集[市集]	shìjí	(N) bazaar, market
食材[食材]	shícái	(N) food materials, ingredients
产地[產地]	chǎndì	(N) place of origin
尽量[盡量]	jìnliàng	(Adv) to do one's best to
友善[友善]	yǒushàn	(Vs) friendly
对待[對待]	duìdài	(V) to treat
土地[土地]	tǔdì	(N) land
信任[信任]	xìnrèn	(Vst) to trust
宁可[寧可]	níngkě	(Vst) would rather
跑[跑]	pǎo	(Vi) to run
支持[支持]	zhīchí	(V) to support
文章[文章]	wénzhāng	(N) article
推销[推銷]	tuīxiāo	(V) to promote, to market
其中[其中]	qízhōng	(N) of these, of which, amongst which
师傅[師傅]	shīfù	(N) master (of a trade)
农村[農村]	nóngcūn	(N) farming village
长大[長大]	zhǎngdà	(Vi) to grow up
帮助[幫助]	bāngzhù	(V) to help
拜访[拜訪]	bàifǎng	(V) to pay someone a visit
出产[出產]	chūchǎn	(V) to produce
由于[由於]	yóuyú	(Conj) due to, because of
许多[許多]	xǔduō	(Det) many
接近[接近]	jiējìn	(Vst) to come close to, to approach
自然[自然]	zìrán	(N) nature
变成[變成]	biànchéng	(Vpt) to become
休闲[休閒]	xiūxián	(Vs) leisure
随着[隨著]	suízhe	(Prep) along with, with the happening of
观光[觀光]	guānguāng	(Vi) to tour, to sightsee
消费[消費]	xiāofèi	(Vi) to be a consumer, to purchase things
安静[安靜]	ānjìng	(Vs) quiet
消失[消失]	xiāoshī	(Vp) to disappear
出问题[出問題]	chū wèntí	(Ph) to go wrong, to have problems
一方面[一方面]	yì fāngmiàn	(Ph) on the one hand
//當代中文/Book 3/L07-I
亲[親]	qīn	(Vs) close (as of familial relationship)
爷爷[爺爺]	yéye	(N) grandpa (father's side)
邻居[鄰居]	línjū	(N) neighbor
狗[狗]	gǒu	(N) dog
叫[叫]	jiào	(Vi) to bark
嗯[嗯]	en	(Ptc) an interjection indicating the speaker's agreement
奶奶[奶奶]	nǎinai	(N) grandma (father's side)
过世[過世]	guòshì	(Vp) to die, pass away (honorific)
领养[領養]	lǐngyǎng	(V) to adopt
只[隻]	zhī	(M) measure word for animals
可爱[可愛]	kě'ài	(Vs) cute
孤单[孤單]	gūdān	(Vs) lonely
牠[牠]	tā	(N) it (animals)
脏[髒]	zāng	(Vs) dirty
洗澡[洗澡]	xǐzǎo	(V-sep) to take a bath
养[養]	yǎng	(V) to raise, to keep
乱[亂]	luàn	(Adv) arbitrarily, without rhyme or reason
咬[咬]	yǎo	(V) to bite
打[打]	dǎ	(V) to hit, beat, smack, slap
分手[分手]	fēnshǒu	(Vp) to break up (said of romantic relationships)
紧张[緊張]	jǐnzhāng	(Vs) tense
减轻[減輕]	jiǎnqīng	(V) to reduce
送[送]	sòng	(V) to take to
美容院[美容院]	měiróngyuàn	(N) beauty salon
推车[推車]	tuīchē	(N) stroller
主人[主人]	zhǔrén	(N) master, owner
相处[相處]	xiāngchǔ	(Vi) to get along (with), to spend time together
生[生]	shēng	(V) to give birth, to bear
宠物[寵物]	chǒngwù	(N) pet
单身[單身]	dānshēn	(Vs) to be single
医院[醫院]	yīyuàn	(N) hospital
意见[意見]	yìjiàn	(N) suggestion, opinion
建立[建立]	jiànlì	(V) to establish
散步[散步]	sànbù	(V-sep) to take a walk
家庭[家庭]	jiātíng	(N) family
真正[真正]	zhēnzhèng	(Vs-attr) real, true, genuine
幸福[幸福]	xìngfú	(N) happiness, blessing
跌倒[跌倒]	dié dǎo	(Ph) to fall down
当成[當成]	dāngchéng	(Ph) to consider, view as, regard
忍不住[忍不住]	rěn bú zhù	(Ph) to be beyond the limits of endurance
//當代中文/Book 3/L07-II
多元[多元]	duōyuán	(Vs-attr) diverse, diversified
阿姨[阿姨]	āyí	(N) aunt (mother's sisters)
先生[先生]	xiānshēng	(N) husband
下班[下班]	xiàbān	(V-sep) to get off work
改[改]	gǎi	(V) correct, check (homework)
公公[公公]	gōnggōng	(N) father-in-law (of a female)
全[全]	quán	(Adv) completely, entirely
靠[靠]	kào	(V) to depend on, rely on
单亲[單親]	dānqīn	(Vs-attr) single parent
贵族[貴族]	guìzú	(N) nobility, aristocrat
时代[時代]	shídài	(N) period, time of
强[強]	qiáng	(Vs) strong
追[追]	zhuī	(V) to go after someone trying to establish a relationship of love, to chase
自由[自由]	zìyóu	(Vs) free
独立[獨立]	dúlì	(Vs) independent
安排[安排]	ānpái	(V) to handle, to arrange
享受[享受]	xiǎngshòu	(Vst) to enjoy
身边[身邊]	shēnbiān	(N) by one's side
伴[伴]	bàn	(N) companion
同居[同居]	tóngjū	(Vi) to live together (as a couple), to cohabit
成家[成家]	chéngjiā	(Vp) to set up a family, to marry (from the male's perspective)
负担[負擔]	fùdān	(V) to bear (a burden, responsibility)
养家[養家]	yǎngjiā	(V-sep) to support one's family
责任[責任]	zérèn	(N) responsibility
乱[亂]	luàn	(Vs) to be in turmoil, be in chaos
教养[教養]	jiàoyǎng	(V) to raise, bring up, train, educate (one's children)
接受[接受]	jiēshòu	(V) to accept
组成[組成]	zǔchéng	(V) to form
道德[道德]	dàodé	(Vs) moral
因此[因此]	yīncǐ	(Conj) therefore, so
完整[完整]	wánzhěng	(Vs) complete, integral, whole
美真[美真]	Měizhēn	female person's name
家华[家華]	Jiāhuá	male person's name
风云人物[風雲人物]	fēngyún rénwù	(Ph) mover and shaker, popular and influential person
下决心[下決心]	xià juéxīn	(Ph) to resolve oneself, make up one's mind (to do something)
//當代中文/Book 3/L08-I
整夜[整夜]	zhěngyè	(N) all night
开[開]	kāi	(V) to turn on, to power on
灯[燈]	dēng	(N) light, lamp
电玩[電玩]	diànwán	(N) video game
球赛[球賽]	qiúsài	(N) ball game
激动[激動]	jīdòng	(Vs) to be excited
喊[喊]	hǎn	(Vi) to yell, shout
公职[公職]	gōngzhí	(N) government posts
其实[其實]	qíshí	(Adv) in fact, actually
公务员[公務員]	gōngwùyuán	(N) civil servant
烦[煩]	fán	(Vs) a "drag", a pain in the neck
听话[聽話]	tīnghuà	(Vs-sep) to listen, to obey
失业率[失業率]	shīyèlǜ	(N) unemployment rate
门[門]	mén	(M) measure word for academic courses
读书[讀書]	dúshū	(V-sep) to study
学分[學分]	xuéfēn	(N) (academic) credits
修[修]	xiū	(V) to take (courses)
专心[專心]	zhuānxīn	(Vs) to focus on, concentrate
修课[修課]	xiūkè	(V-sep) to take a class
辅系[輔系]	fǔxì	(N) minor (in college)
疯[瘋]	fēng	(Vp) to go crazy, to be insane
夸张[誇張]	kuāzhāng	(Vs) to be exaggerated
举行[舉行]	jǔxíng	(V) to hold (a conference, exhibition)
遗憾[遺憾]	yíhàn	(Vs) regretful (that something undesirable happened), a pity, a shame
儿子[兒子]	érzi	(N) son
期望[期望]	qíwàng	(N) expectations
状元[狀元]	zhuàngyuán	(N) top-ranking in a public exam (originally the person with the highest marks on the imperial test)
努力[努力]	nǔlì	(Vs) diligent in
怎么回事[怎麼回事]	zěnme huíshì	(Ph) What's wrong?
大喊大叫[大喊大叫]	dàhǎn dàjiào	(Ph) to yell, yelling, shouting
期中考[期中考]	qízhōng kǎo	(Ph) mid-term exam
密集班[密集班]	mìjí bān	(Ph) intensive course
毕业展[畢業展]	bìyè zhǎn	(Ph) graduation exhibition
服装设计[服裝設計]	fúzhuāng shèjì	(Ph) fashion design
医学系[醫學系]	yīxué xì	(Ph) department of medicine
行行出状元[行行出狀元]	hángháng chū zhuàngyuán	(Ph) there is a leader in every industry
//當代中文/Book 3/L08-II
冠军[冠軍]	guànjūn	(N) champion, championship
大赛[大賽]	dàsài	(N) a major, usually international, competition
通过[通過]	tōngguò	(Vpt) to pass
高级[高級]	gāojí	(Vs-attr) high level, advanced
硕士[碩士]	shuòshì	(N) master's degree
面试[面試]	miànshì	(N) interview
却[卻]	què	(Adv) but, yet
国中[國中]	guózhōng	(N) junior middle school
学历[學歷]	xuélì	(N) educational background
拒绝[拒絕]	jùjué	(V) to reject
引起[引起]	yǐnqǐ	(Vpt) to stir up, generate, cause
弹性[彈性]	tánxìng	(N) flexibility
改变[改變]	gǎibiàn	(V) to undergo change
制度[制度]	zhìdù	(N) system
基础[基礎]	jīchǔ	(N) foundation, fundamentals
认真[認真]	rènzhēn	(Vs) earnest, serious
公平[公平]	gōngpíng	(Vs) fair
出生[出生]	chūshēng	(Vp) to be born
穷[窮]	qióng	(Vs) poor
父亲[父親]	fùqīn	(N) father
母亲[母親]	mǔqīn	(N) mother
学徒[學徒]	xuétú	(N) apprentice
吃苦[吃苦]	chīkǔ	(Vs-sep) experience tough times
明白[明白]	míngbái	(Vst) to understand
当兵[當兵]	dāngbīng	(V-sep) to be a soldier, to do military service
认字[認字]	rènzì	(Vi) to learn characters
烘焙[烘焙]	hōngbèi	(V) to bake
学习[學習]	xuéxí	(V) to study
技术[技術]	jìshù	(N) skills
艺术[藝術]	yìshù	(N) art
经过[經過]	jīngguò	(Prep) after
终于[終於]	zhōngyú	(Adv) finally
亿[億]	yì	(N) 100 million
梦想[夢想]	mèngxiǎng	(N) dream, ideals (not during sleep)
成为[成為]	chéngwéi	(Vpt) to become
企业家[企業家]	qìyèjiā	(N) entrepreneur
分店[分店]	fēndiàn	(N) branch store, branch office
原因[原因]	yuányīn	(N) reason
录取[錄取]	lùqǔ	(V) to accept (application), to admit
成功[成功]	chénggōng	(Vs) successful
鼓励[鼓勵]	gǔlì	(V) to encourage
吴宝春[吳寶春]	Wú Bǎochūn	a famous baker from Taiwan
新加坡[新加坡]	Xīnjiāpō	Singapore
日文[日文]	Rìwén	Japanese language or writing
世界面包大赛[世界麵包大賽]	shìjiè miànbāo dàsài	(Ph) The Bakery World Cup
高级管理人员工商管理硕士[高級管理人員工商管理碩士]	gāojí guǎnlǐ rényuán gōngshāng guǎnlǐ shuòshì	(Ph) EMBA (Executive Master of Business Administration)
小时候[小時候]	xiǎo shíhòu	(Ph) in one's childhood
大开眼界[大開眼界]	dàkāi yǎnjiè	(Ph) to have one's eyes opened
X 分之 Y[X 分之 Y]	X fēn zhī Y	(Ph) pattern for indicating percentages or fractions
//當代中文/Book 3/L09-I
订单[訂單]	dìngdān	(N) an order (trading)
客户[客戶]	kèhù	(N) customer, client
方便[方便]	fāngbiàn	(V) to offer convenience
订购[訂購]	dìnggòu	(V) to order, place an order
成立[成立]	chénglì	(V) to establish, set up
假日[假日]	jiàrì	(N) holiday
贩卖[販賣]	fànmài	(V) to sell
阿嬷[阿嬤]	āmà	(N) grandma, older woman (Taiwanese)
中间商[中間商]	zhōngjiānshāng	(N) middleman, reseller
经营[經營]	jīngyíng	(V) to operate, run (a business)
宅配[宅配]	zháipèi	(Vi) express delivery
下[下]	xià	(V) to place (an order)
既[既]	jì	(Adv) not merely
随时[隨時]	suíshí	(Adv) anytime
搜寻[搜尋]	sōuxún	(V) to search
冰箱[冰箱]	bīngxiāng	(N) refrigerator (lit. ice box)
吃亏[吃虧]	chīkuī	(Vs-sep) to suffer a loss
比价[比價]	bǐjià	(V-sep) to compare prices, price comparison
风险[風險]	fēngxiǎn	(N) risk
卖家[賣家]	màijiā	(N) seller
必须[必須]	bìxū	(Vaux) must, to have to
信用[信用]	xìnyòng	(N) credibility
万一[萬一]	wànyī	(Conj) in case
满意[滿意]	mǎnyì	(Vst) satisfied
以内[以內]	yǐnèi	(N) within
普遍[普遍]	pǔbiàn	(Vs) widespread, common
选择[選擇]	xuǎnzé	(V) to choose
网购[網購]	wǎng gòu	(Ph) online shopping
货比三家不吃亏[貨比三家不吃虧]	huò bǐ sān jiā bù chīkuī	(Ph) shop around and you won't get ripped off (lit. Compare products at three stores and you won't be cheated.)
两成[兩成]	liǎng chéng	(Ph) 20%, literally 2/10
//當代中文/Book 3/L09-II
凤梨[鳳梨]	fènglí	(N) pineapple
农产品[農產品]	nóngchǎnpǐn	(N) agricultural product
出口[出口]	chūkǒu	(V) to export
曾经[曾經]	céngjīng	(Adv) been the case before, once
占[占]	zhàn	(Vst) to constitute, to account for
成本[成本]	chéngběn	(N) costs
价格[價格]	jiàgé	(N) price
竞争[競爭]	jìngzhēng	(Vi) to compete against
好运[好運]	hǎoyùn	(N) good luck
内馅[內餡]	nèixiàn	(N) filling (of pastries etc.)
当做[當做]	dāngzuò	(V) to treat as, to serve as
喜饼[喜餅]	xǐbǐng	(N) wedding-announcement pastries
喜爱[喜愛]	xǐ'ài	(Vst) fond of
茶点[茶點]	chádiǎn	(N) snacks, dessert (served with tea)
商机[商機]	shāngjī	(N) business opportunity
代表[代表]	dàibiǎo	(V) to represent
政府[政府]	zhèngfǔ	(N) government
举办[舉辦]	jǔbàn	(V) to organize, hold
产值[產值]	chǎnzhí	(N) production value, output
提高[提高]	tígāo	(V) to increase, to elevate
知名[知名]	zhīmíng	(Vs) well known, renowned
出现[出現]	chūxiàn	(Vp) to appear
科技[科技]	kējì	(N) technology
（台）斤[（台）斤]	(Tái) jīn	(M) catty, a unit of measure in Taiwan, equivalent to 600 grams
叔叔[叔叔]	shúshu	(N) uncle (father's younger brother)
口味[口味]	kǒuwèi	(N) flavor
结果[結果]	jiéguǒ	(Adv) as a result
购买[購買]	gòumǎi	(V) to purchase
改善[改善]	gǎishàn	(V) to improve
并且[並且]	bìngqiě	(Conj) moreover
行销[行銷]	xíngxiāo	(V) to market
团购[團購]	tuángòu	(V) to group buy (for cheaper prices)
店面[店面]	diànmiàn	(N) storefront
全[全]	quán	(Det) entire
闽南语[閩南語]	Mǐnnányǔ	Southern Min dialect, i.e., Taiwanese
旺来[旺來]	wànglái	Southern Min sound for pineapple, lit. "abundance comes"
东京[東京]	Dōngjīng	Tokyo
凤梨酥[鳳梨酥]	fènglí sū	(Ph) pineapple shortcake
第二位[第二位]	dì èr wèi	(Ph) second (place)
凤梨农[鳳梨農]	fènglí nóng	(Ph) pineapple farmer
//當代中文/Book 3/L10-I
住院[住院]	zhùyuàn	(V-sep) to stay in a hospital, be hospitalized
脸[臉]	liǎn	(N) face
受伤[受傷]	shòushāng	(Vp-sep) to be injured
撞[撞]	zhuàng	(V) to hit, collide
遵守[遵守]	zūnshǒu	(V) to obey, follow, comply with
规则[規則]	guīzé	(N) rules, regulations
报警[報警]	bàojǐng	(V-sep) to report to (or call) the police
急诊室[急診室]	jízhěnshì	(N) emergency room
伤[傷]	shāng	(N) injury
骨折[骨折]	gǔzhé	(Vp) to fracture, break a bone
片子[片子]	piànzi	(N) (X-ray) film
开刀[開刀]	kāidāo	(V-sep) to have surgery
病人[病人]	bìngrén	(N) patient
情况[情況]	qíngkuàng	(N) situation
紧急[緊急]	jǐnjí	(Vs) urgent
病床[病床]	bìngchuáng	(N) hospital bed
要命[要命]	yàomìng	(Vs) murderous, horrible
打针[打針]	dǎzhēn	(V-sep) to inject, give a shot
止痛[止痛]	zhǐtòng	(Vi) to kill pain (lit. stop pain)
手术[手術]	shǒushù	(N) operation, surgery
警察[警察]	jǐngchá	(N) police
危险[危險]	wéixiǎn	(N) danger
至于[至於]	zhìyú	(Ptc) as to, regarding
部位[部位]	bùwèi	(N) (body) part, location
恢复[恢復]	huīfù	(Vp) to recover
伤口[傷口]	shāngkǒu	(N) wound
哎呀[哎呀]	āiya	(Ptc) interjection for realization of something important, oh no, yikes
出车祸[出車禍]	chū chēhuò	(Ph) to have an automobile accident
赶时间[趕時間]	gǎn shíjiān	(Ph) to be in a hurry
撞倒[撞倒]	zhuàng dǎo	(Ph) to knock down, knock over
救护车[救護車]	jiùhù chē	(Ph) ambulance
照 X 光[照 X 光]	zhào X guāng	(Ph) to take an X-ray
动手术[動手術]	dòng shǒushù	(Ph) to have/undergo a surgery
//當代中文/Book 3/L10-II
医美[醫美]	yīměi	(N) cosmetic surgery
合理[合理]	hélǐ	(Vs) reasonable
休假[休假]	xiūjià	(V-sep) to take time off
迷人[迷人]	mírén	(Vs) charming, attractive
职场[職場]	zhíchǎng	(N) workplace
竞争力[競爭力]	jìngzhēnglì	(N) competitive edge
调查[調查]	diàochá	(N) survey, investigation
整型[整型]	zhěngxíng	(V-sep) plastic surgery
增加[增加]	zēngjiā	(V) to increase
自信[自信]	zìxìn	(N) self-confidence
外表[外表]	wàibiǎo	(N) appearance, exterior
普通[普通]	pǔtōng	(Vs) common, ordinary
从事[從事]	cóngshì	(V) to be engaged in, work in (a field of work)
医治[醫治]	yīzhì	(V) to heal, cure
一向[一向]	yíxiàng	(Adv) have always
一般[一般]	yìbān	(Vs-attr) general, most
主要[主要]	zhǔyào	(Vs-attr) primary, main
待遇[待遇]	dàiyù	(N) pay
公立[公立]	gōnglì	(Vs-attr) public; government-run
外科[外科]	wàikē	(N) department of surgery
超过[超過]	chāoguò	(Vpt) to exceed
倍[倍]	bèi	(M) times, -fold
另[另]	lìng	(Det) another, additional
价值观[價值觀]	jiàzhíguān	(N) values
尊敬[尊敬]	zūnjìng	(Vst) to respect, respectful of
告[告]	gào	(V) to sue, bring suit against
平均[平均]	píngjūn	(Adv) average
医疗[醫療]	yīliáo	(N) medical treatment, health care
怪[怪]	guài	(V) to blame
爱林[愛林]	Àilín	female person's name
微整型[微整型]	wéi zhěngxíng	(Ph) micro-cosmetic surgery, plastic surgery, face contouring
数一数二[數一數二]	shǔyī shǔ'èr	(Ph) one of the top or best in..., leading...
人际关系[人際關係]	rénjì guānxì	(Ph) interpersonal relations
动不动就[動不動就]	dòng bú dòng jiù	(Ph) to do something impetuously
找回[找回]	zhǎo huí	(Ph) to rediscover, to retrieve
//當代中文/Book 3/L11-I
建[建]	jiàn	(V) to build (Classical Chinese)
重建[重建]	chóngjiàn	(V) to rebuild
到底[到底]	dàodǐ	(Adv) in the end, after all
世纪[世紀]	shìjì	(N) century
贸易[貿易]	màoyì	(N) trade
商业[商業]	shāngyè	(N) commerce, business
利益[利益]	lìyì	(N) gains, benefit
派[派]	pài	(V) to send, dispatch
军队[軍隊]	jūnduì	(N) army, military
烧[燒]	shāo	(V) to burn
城墙[城牆]	chéngqiáng	(N) city walls, defensive walls
头发[頭髮]	tóufǎ	(N) hair
甚至[甚至]	shènzhì	(Adv) even, even to the point of
打仗[打仗]	dǎzhàng	(V-sep) to engage in warfare
少数[少數]	shǎoshù	(N) minority, a few
开垦[開墾]	kāikěn	(V) to open up land for farming
将军[將軍]	jiāngjūn	(N) general
军人[軍人]	jūnrén	(N) military service member
平原[平原]	píngyuán	(N) flatland, plains
人口[人口]	rénkǒu	(N) population
血统[血統]	xiětǒng	(N) blood, bloodline
喽[嘍]	lou	(Ptc) a sentence-final particle meaning 'in that case'
孙子[孫子]	sūnzi	(N) grandson
领土[領土]	lǐngtǔ	(N) territory (of a nation)
男性[男性]	nánxìng	(N) male
禁止[禁止]	jìnzhǐ	(V) to forbid
娶[娶]	qǔ	(V) to take a woman in marriage
相信[相信]	xiāngxìn	(Vst) to believe
精彩[精彩]	jīngcǎi	(Vs) splendid, brilliant as (of a performance)
红毛城[紅毛城]	Hóngmáo chéng	Fort Santo Domingo, lit. red-hair city
东方[東方]	Dōngfāng	the East, the Orient
淡水[淡水]	Dànshuǐ	Tamsui
汉人[漢人]	Hàn rén	Han-ethnic Chinese
郑成功[鄭成功]	Zhèng Chénggōng	Koxinga, 國姓爺, 1624-1662, who ruled Taiwan against the Manchu sovereignty
明朝[明朝]	Míng cháo	Ming Dynasty, 1368-1644
中南美洲[中南美洲]	Zhōngnán Měizhōu	Central and South America
清朝[清朝]	Qīng cháo	Qing Dynasty, 1644-1911
大清帝国[大清帝國]	Dàqīng dìguó	the Qing Empire
轮到[輪到]	lúndào	(Ph) one's turn, it's up to
十七世纪初[十七世紀初]	shíqī shìjì chū	(Ph) early 17th century
打败[打敗]	dǎ bài	(Ph) to defeat
十七世纪末[十七世紀末]	shíqī shìjì mò	(Ph) late 17th century
//當代中文/Book 3/L11-II
餐桌[餐桌]	cānzhuō	(N) dining table
中式[中式]	Zhōngshì	(N) Chinese-style
套[套]	tào	(M) set of (books, clothes, equipment etc.)
烧饼[燒餅]	shāobǐng	(N) clay oven sesame seed biscuits, like Indian 'nan'
油条[油條]	yóutiáo	(N) deep-fried dough sticks
饭团[飯糰]	fàntuán	(N) rice rolls with various fillings
豆浆[豆漿]	dòujiāng	(N) soy milk
内战[內戰]	nèizhàn	(N) civil war
