ID	Traditional	Simplified	Pinyin	POS	Meaning	Audio	Variants	Tags
B2L10-I-07	門	门	mén	N	door	[sound:dangdai-B2L10-I-07.mp3]		
B2L10-I-08	春捲	春卷	chūnjuǎn	N	spring rolls	[sound:dangdai-B2L10-I-08.mp3]		
B2L10-I-09	泡菜	泡菜	pàocài	N	kimchi, pickled vegetables	[sound:dangdai-B2L10-I-09.mp3]		
B2L10-I-10	飯廳	饭厅	fàntīng	N	dining room	[sound:dangdai-B2L10-I-10.mp3]		
B2L10-I-11	下	下	xià	Ptc	to have enough space to accommodate	[sound:dangdai-B2L10-I-11.mp3]		
B2L10-I-12	洗	洗	xǐ	V	to wash	[sound:dangdai-B2L10-I-12.mp3]		
B2L10-I-13	做菜	做菜	zuòcài	V-sep	to cook	[sound:dangdai-B2L10-I-13.mp3]		
B2L10-I-14	水餃	水饺	shuǐjiǎo	N	dumplings (when boiled in water)	[sound:dangdai-B2L10-I-14.mp3]		
B2L10-I-15	煮	煮	zhǔ	V	to cook, to boil	[sound:dangdai-B2L10-I-15.mp3]		
B2L10-I-16	壞	坏	huài	Vp	to go bad	[sound:dangdai-B2L10-I-16.mp3]		
B2L10-I-17	破	破	pò	Vp	to break, to split open	[sound:dangdai-B2L10-I-17.mp3]		
B2L10-I-18	餡兒	馅儿	xiànr	N	filling	[sound:dangdai-B2L10-I-18.mp3]		
B2L10-I-19	扁	扁	biǎn	Vs	flat	[sound:dangdai-B2L10-I-19.mp3]		
B2L10-I-20	材料	材料	cáiliào	N	ingredients	[sound:dangdai-B2L10-I-20.mp3]		
B2L10-I-21	道	道	dào	M	measure word for dishes of food	[sound:dangdai-B2L10-I-21.mp3]		
B2L10-I-22	飽	饱	bǎo	Vs	to have eaten enough, to be full	[sound:dangdai-B2L10-I-22.mp3]		
B2L10-I-23	光	光	guāng	Vp	to be finished, none left	[sound:dangdai-B2L10-I-23.mp3]		
B2L10-I-24	鍋子	锅子	guōzi	N	pot, kettle, pan, wok	[sound:dangdai-B2L10-I-24.mp3]		
B2L10-I-25	筷子	筷子	kuàizi	N	chopsticks	[sound:dangdai-B2L10-I-25.mp3]		
B2L10-I-26	碗	碗	wǎn	N	bowl	[sound:dangdai-B2L10-I-26.mp3]		
B2L10-I-27	韓國	韩国	Hánguó		(South) Korea	[sound:dangdai-B2L10-I-27.mp3]		Name
B2L10-I-28	看不出來	看不出来	kàn bù chūlái	Ph	It does not occur to me that..., can't tell (i.e., ascertain)	[sound:dangdai-B2L10-I-28.mp3]		
B2L10-I-29	酸辣湯	酸辣汤	suānlà tāng	Ph	hot and sour soup	[sound:dangdai-B2L10-I-29.mp3]		
B2L10-II-01	學期	学期	xuéqí	N	semester	[sound:dangdai-B2L10-II-01.mp3]		
B2L10-II-02	趁	趁	chèn	Prep	while, take advantage of	[sound:dangdai-B2L10-II-02.mp3]		
B2L10-II-03	皮	皮	pí	N	skin, wraps	[sound:dangdai-B2L10-II-03.mp3]		
B2L10-II-04	嚐	尝	cháng	V	to savor, to taste	[sound:dangdai-B2L10-II-04.mp3]		
B2L10-II-05	大白菜	大白菜	dàbáicài	N	Chinese cabbage	[sound:dangdai-B2L10-II-05.mp3]		
B2L10-II-06	加	加	jiā	V	to add	[sound:dangdai-B2L10-II-06.mp3]		
B2L10-II-07	鹽	盐	yán	N	salt	[sound:dangdai-B2L10-II-07.mp3]		
B2L10-II-08	拌	拌	bàn	V	to stir, to mix	[sound:dangdai-B2L10-II-08.mp3]		
B2L10-II-09	辣椒	辣椒	làjiāo	N	chili peppers	[sound:dangdai-B2L10-II-09.mp3]		
B2L10-II-10	調味料	调味料	tiáowèiliào	N	seasonings	[sound:dangdai-B2L10-II-10.mp3]		
B2L10-II-11	裝	装	zhuāng	V	to pack into	[sound:dangdai-B2L10-II-11.mp3]		
B2L10-II-12	玻璃	玻璃	bōlí	N	glass	[sound:dangdai-B2L10-II-12.mp3]		
B2L10-II-13	壽司	寿司	shòusī	N	sushi	[sound:dangdai-B2L10-II-13.mp3]		
B2L10-II-14	像	像	xiàng	Vst	such as; like	[sound:dangdai-B2L10-II-14.mp3]		
B2L10-II-15	食物	食物	shíwù	N	food	[sound:dangdai-B2L10-II-15.mp3]		
B2L10-II-16	做起來	做起来	zuò qǐlái	Ph	when undertaken, to do	[sound:dangdai-B2L10-II-16.mp3]		
B2L11-I-01	其他	其他	qítā	Det	other, the other, the remaining	[sound:dangdai-B2L11-I-01.mp3]		
B2L11-I-02	假期	假期	jiàqí	N	vacation, holiday	[sound:dangdai-B2L11-I-02.mp3]		
B2L11-I-03	溫泉	温泉	wēnquán	N	hot springs	[sound:dangdai-B2L11-I-03.mp3]		
B2L11-I-04	建議	建议	jiànyì	V	to suggest, to recommend	[sound:dangdai-B2L11-I-04.mp3]		
B2L11-I-05	票	票	piào	N	ticket	[sound:dangdai-B2L11-I-05.mp3]		
B2L11-I-06	考慮	考虑	kǎolǜ	V	to consider	[sound:dangdai-B2L11-I-06.mp3]		
B2L11-I-07	順便	顺便	shùnbiàn	Adv	without making any extra effort, on the way, while doing something else, while one is at it	[sound:dangdai-B2L11-I-07.mp3]		
B2L11-I-08	湖	湖	hú	N	lake	[sound:dangdai-B2L11-I-08.mp3]		
B2L11-I-09	原住民	原住民	yuánzhùmín	N	aborigines	[sound:dangdai-B2L11-I-09.mp3]		
B2L11-I-10	趟	趟	tàng	M	measure word for a trip	[sound:dangdai-B2L11-I-10.mp3]		
B2L11-I-11	後來	后来	hòulái	Adv	later	[sound:dangdai-B2L11-I-11.mp3]		
B2L11-I-12	注意	注意	zhùyì	V	to pay attention to	[sound:dangdai-B2L11-I-12.mp3]		
B2L11-I-13	沙灘	沙滩	shātān	N	beach	[sound:dangdai-B2L11-I-13.mp3]		
B2L11-I-14	錢包	钱包	qiánbāo	N	wallet, purse	[sound:dangdai-B2L11-I-14.mp3]		
B2L11-I-15	不見	不见	bújiàn	Vp	to be lost, to disappear	[sound:dangdai-B2L11-I-15.mp3]		
B2L11-I-16	被	被	bèi	Ptc	a particle marking a passive sentence	[sound:dangdai-B2L11-I-16.mp3]		
B2L11-I-17	偷	偷	tōu	V	to steal	[sound:dangdai-B2L11-I-17.mp3]		
B2L11-I-18	安全	安全	ānquán	Vs	safe	[sound:dangdai-B2L11-I-18.mp3]		
B2L11-I-19	值得	值得	zhíde	Vs	worthwhile, worth	[sound:dangdai-B2L11-I-19.mp3]		
B2L11-I-20	墾丁	垦丁	Kěndīng		Kenting, an area on the southern tip of Taiwan, famed for beaches and rain forest	[sound:dangdai-B2L11-I-20.mp3]		Name
B2L11-I-21	台中	台中	Táizhōng		Taichung city, in central Taiwan	[sound:dangdai-B2L11-I-21.mp3]		Name
B2L11-I-22	日月潭	日月潭	Rìyuè Tán		Sun Moon Lake, in central Taiwan	[sound:dangdai-B2L11-I-22.mp3]		Name
B2L11-I-23	水上活動	水上活动	shuǐshàng huódòng	Ph	water activities, water recreation	[sound:dangdai-B2L11-I-23.mp3]		
B2L11-I-24	風景區	风景区	fēngjǐngqū	Ph	scenic area	[sound:dangdai-B2L11-I-24.mp3]		
B2L11-II-01	又	又	yòu	Adv	then	[sound:dangdai-B2L11-II-01.mp3]		
B2L11-II-02	遍	遍	biàn	M	measure word for number of times	[sound:dangdai-B2L11-II-02.mp3]		
B2L11-II-03	民宿	民宿	mínsù	N	Bed & Breakfast lodgings	[sound:dangdai-B2L11-II-03.mp3]		
B2L11-II-04	運氣	运气	yùnqì	N	luck	[sound:dangdai-B2L11-II-04.mp3]		
B2L11-II-05	摩托車	摩托车	mótuōchē	N	motorcycle	[sound:dangdai-B2L11-II-05.mp3]		
B2L11-II-06	熱帶	热带	rèdài	N	tropical region	[sound:dangdai-B2L11-II-06.mp3]		
B2L11-II-07	植物	植物	zhíwù	N	plants	[sound:dangdai-B2L11-II-07.mp3]		
B2L11-II-08	所有	所有	suǒyǒu	Vs-attr	all	[sound:dangdai-B2L11-II-08.mp3]		
B2L11-II-09	白天	白天	báitiān	N	in the daytime	[sound:dangdai-B2L11-II-09.mp3]		
B2L11-II-10	躺	躺	tǎng	Vi	to lie down	[sound:dangdai-B2L11-II-10.mp3]		
B2L11-II-11	黃昏	黄昏	huánghūn	N	dusk	[sound:dangdai-B2L11-II-11.mp3]		
B2L11-II-12	條	条	tiáo	M	measure word for street	[sound:dangdai-B2L11-II-12.mp3]		
B2L11-II-13	街	街	jiē	N	street	[sound:dangdai-B2L11-II-13.mp3]		
B2L11-II-14	啤酒	啤酒	píjiǔ	N	beer	[sound:dangdai-B2L11-II-14.mp3]		
B2L11-II-15	上	上	shàng	Ptc	a verb particle indicating the coming into contact between two nouns	[sound:dangdai-B2L11-II-15.mp3]		
B2L11-II-16	又	又	yòu	Conj	and	[sound:dangdai-B2L11-II-16.mp3]		
B2L11-II-17	浪漫	浪漫	làngmàn	Vs	romantic	[sound:dangdai-B2L11-II-17.mp3]		
B2L11-II-18	家鄉	家乡	jiāxiāng	N	hometown, usually a village	[sound:dangdai-B2L11-II-18.mp3]		
B2L11-II-19	觀光客	观光客	guānguāngkè	Ph	tourist	[sound:dangdai-B2L11-II-19.mp3]		
B2L11-II-20	曬太陽	晒太阳	shài tàiyáng	Ph	to sunbathe	[sound:dangdai-B2L11-II-20.mp3]		
B2L11-II-21	水上摩托車	水上摩托车	shuǐshàng mótuōchē	Ph	jet skis	[sound:dangdai-B2L11-II-21.mp3]		
B2L11-II-22	愛上	爱上	àishàng	Ph	to fall in love with	[sound:dangdai-B2L11-II-22.mp3]		
B2L12-I-01	新	新	xīn	Adv	newly	[sound:dangdai-B2L12-I-01.mp3]		
B2L12-I-02	開	开	kāi	V	to open (business)	[sound:dangdai-B2L12-I-02.mp3]		
B2L12-I-03	素食	素食	sùshí	N	vegetarian food	[sound:dangdai-B2L12-I-03.mp3]		
B2L12-I-04	速食	速食	sùshí	N	fast food	[sound:dangdai-B2L12-I-04.mp3]		
B2L12-I-05	錯	错	cuò	Vp	to be mistaken, wrong	[sound:dangdai-B2L12-I-05.mp3]		
B2L12-I-06	肉	肉	ròu	N	meat	[sound:dangdai-B2L12-I-06.mp3]		
B2L12-I-07	欸	欸	èi	Ptc	an interjection particle, calling for attention	[sound:dangdai-B2L12-I-07.mp3]		
B2L12-I-08	讓	让	ràng	V	to let, to make	[sound:dangdai-B2L12-I-08.mp3]		
B2L12-I-09	吃素	吃素	chīsù	V-sep	to be a vegetarian, to eat vegetarian food	[sound:dangdai-B2L12-I-09.mp3]		
B2L12-I-10	漢堡	汉堡	hànbǎo	N	hamburger	[sound:dangdai-B2L12-I-10.mp3]		
B2L12-I-11	變	变	biàn	Vp	to become	[sound:dangdai-B2L12-I-11.mp3]		
B2L12-I-12	胖	胖	pàng	Vs	fat	[sound:dangdai-B2L12-I-12.mp3]		
B2L12-I-13	素菜	素菜	sùcài	N	vegetarian food, dishes	[sound:dangdai-B2L12-I-13.mp3]		
B2L12-I-14	油膩	油腻	yóunì	Vs	oily, greasy	[sound:dangdai-B2L12-I-14.mp3]		
B2L12-I-15	樣	样	yàng	M	measure word for dishes, kinds	[sound:dangdai-B2L12-I-15.mp3]		
B2L12-I-16	好奇	好奇	hàoqí	Vs	curious, to wonder	[sound:dangdai-B2L12-I-16.mp3]		
B2L12-I-17	女孩	女孩	nǚhái	N	girl	[sound:dangdai-B2L12-I-17.mp3]		
B2L12-I-18	青菜	青菜	qīngcài	N	vegetables	[sound:dangdai-B2L12-I-18.mp3]		
B2L12-I-19	瘦	瘦	shòu	Vs	thin	[sound:dangdai-B2L12-I-19.mp3]		
B2L12-I-20	室友	室友	shìyǒu	N	roommate	[sound:dangdai-B2L12-I-20.mp3]		
B2L12-I-21	豬肉	猪肉	zhūròu	N	pork	[sound:dangdai-B2L12-I-21.mp3]		
B2L12-I-22	西方	西方	xīfāng	N	the West, western	[sound:dangdai-B2L12-I-22.mp3]		
B2L12-I-23	完全	完全	wánquán	Adv	completely	[sound:dangdai-B2L12-I-23.mp3]		
B2L12-I-24	鹹	咸	xián	Vs	salty	[sound:dangdai-B2L12-I-24.mp3]		
B2L12-I-25	炸	炸	zhá	V	to deep fry	[sound:dangdai-B2L12-I-25.mp3]		
B2L12-I-26	烤	烤	kǎo	V	to grill, to roast, to BBQ	[sound:dangdai-B2L12-I-26.mp3]		
B2L12-I-27	沙拉	沙拉	shālā	N	salad	[sound:dangdai-B2L12-I-27.mp3]		
B2L12-I-28	麥當勞	麦当劳	Màidāngláo		McDonald's	[sound:dangdai-B2L12-I-28.mp3]		Name
B2L12-I-29	速食店	速食店	sùshí diàn	Ph	fast food restaurant	[sound:dangdai-B2L12-I-29.mp3]		
B2L12-II-01	只要	只要	zhǐyào	Conj	as long as	[sound:dangdai-B2L12-II-01.mp3]		
B2L12-II-02	討厭	讨厌	tǎoyàn	Vst	to dislike	[sound:dangdai-B2L12-II-02.mp3]		
B2L12-II-03	餐	餐	cān	M	measure word for meal	[sound:dangdai-B2L12-II-03.mp3]		
B2L12-II-04	宗教	宗教	zōngjiào	N	religion	[sound:dangdai-B2L12-II-04.mp3]		
B2L12-II-05	關係	关系	guānxi	N	relationship	[sound:dangdai-B2L12-II-05.mp3]		
B2L12-II-06	薯條	薯条	shǔtiáo	N	French fries	[sound:dangdai-B2L12-II-06.mp3]		
B2L12-II-07	作法	作法	zuòfǎ	N	way of doing something, e.g., cooking	[sound:dangdai-B2L12-II-07.mp3]		
B2L12-II-08	越	越	yuè	Adv	more	[sound:dangdai-B2L12-II-08.mp3]		
B2L12-II-09	簡單	简单	jiǎndān	Vs	simple	[sound:dangdai-B2L12-II-09.mp3]		
B2L12-II-10	蒸	蒸	zhēng	V	to steam	[sound:dangdai-B2L12-II-10.mp3]		
B2L12-II-11	有機	有机	yǒujī	Vs-attr	organic	[sound:dangdai-B2L12-II-11.mp3]		
B2L12-II-12	食品	食品	shípǐn	N	food	[sound:dangdai-B2L12-II-12.mp3]		
B2L12-II-13	地球	地球	dìqiú	N	the earth	[sound:dangdai-B2L12-II-13.mp3]		
B2L12-II-14	汙染	污染	wūrǎn	N	pollution	[sound:dangdai-B2L12-II-14.mp3]		
B2L12-II-15	嚴重	严重	yánzhòng	Vs	serious	[sound:dangdai-B2L12-II-15.mp3]		
B2L12-II-16	衛生	卫生	wèishēng	N	hygiene	[sound:dangdai-B2L12-II-16.mp3]		
B2L12-II-17	營養	营养	yíngyǎng	N	nutrition	[sound:dangdai-B2L12-II-17.mp3]		
B2L12-II-18	什麼的	什么的	shénmede	Ph	things like (that); etc.	[sound:dangdai-B2L12-II-18.mp3]		
B2L13-I-01	林愛麗	林爱丽	Lín Àilì		Lin Aili, a woman from Canada	[sound:dangdai-B2L13-I-01.mp3]		Character Name
B2L13-I-02	掉	掉	diào	Vp	to lose	[sound:dangdai-B2L13-I-02.mp3]		
B2L13-I-03	低頭	低头	dītóu	V-sep	to lower one's head	[sound:dangdai-B2L13-I-03.mp3]		
B2L13-I-04	傳	传	chuán	V	to send (text message, email)	[sound:dangdai-B2L13-I-04.mp3]		
B2L13-I-05	過	过	guò	Ptc	a phase particle indicating completion of an action	[sound:dangdai-B2L13-I-05.mp3]		
B2L13-I-06	簡訊	简讯	jiǎnxùn	N	text message	[sound:dangdai-B2L13-I-06.mp3]		
B2L13-I-07	功能	功能	gōngnéng	N	function	[sound:dangdai-B2L13-I-07.mp3]		
B2L13-I-08	生氣	生气	shēngqì	Vs-sep	to get angry at	[sound:dangdai-B2L13-I-08.mp3]		
B2L13-I-09	叫	叫	jiào	V	to tell	[sound:dangdai-B2L13-I-09.mp3]		
B2L13-I-10	罵	骂	mà	V	to yell at, to scold, to tell off	[sound:dangdai-B2L13-I-10.mp3]		
B2L13-I-11	健身房	健身房	jiànshēnfáng	N	gym	[sound:dangdai-B2L13-I-11.mp3]		
B2L13-I-12	啦	啦	la	Ptc	a sentence-final particle indicating a question, 了+啊	[sound:dangdai-B2L13-I-12.mp3]		
B2L13-I-13	查	查	chá	V	to check, to look up (for information)	[sound:dangdai-B2L13-I-13.mp3]		
B2L13-I-14	班機	班机	bānjī	N	flight	[sound:dangdai-B2L13-I-14.mp3]		
B2L13-I-15	訂位	订位	dìngwèi	V-sep	to make reservations	[sound:dangdai-B2L13-I-15.mp3]		
B2L13-I-16	電	电	diàn	N	electric power	[sound:dangdai-B2L13-I-16.mp3]		
B2L13-I-17	充電	充电	chōngdiàn	V-sep	to charge (the battery of an electronic device)	[sound:dangdai-B2L13-I-17.mp3]		
B2L13-I-18	糊塗	糊涂	hútú	Vs	muddle-headed	[sound:dangdai-B2L13-I-18.mp3]		
B2L13-I-19	喔	喔	ō	Ptc	a sentence-final particle indicating a suggestion	[sound:dangdai-B2L13-I-19.mp3]		
B2L13-I-20	義大利	义大利	Yìdàlì		Italy	[sound:dangdai-B2L13-I-20.mp3]		Name
B2L13-I-21	拿走	拿走	názǒu	Ph	to take away	[sound:dangdai-B2L13-I-21.mp3]		
B2L13-I-22	撿到	捡到	jiǎndào	Ph	to find something, to pick up	[sound:dangdai-B2L13-I-22.mp3]		
B2L13-I-23	留下	留下	liúxià	Ph	to keep for oneself	[sound:dangdai-B2L13-I-23.mp3]		
B2L13-II-01	網路	网路	wǎnglù	N	the internet	[sound:dangdai-B2L13-II-01.mp3]		
B2L13-II-02	發生	发生	fāshēng	Vp	to happen	[sound:dangdai-B2L13-II-02.mp3]		
B2L13-II-03	事情	事情	shìqíng	N	event, happening	[sound:dangdai-B2L13-II-03.mp3]		
B2L13-II-04	消息	消息	xiāoxí	N	news, information	[sound:dangdai-B2L13-II-04.mp3]		
B2L13-II-05	透過	透过	tòuguò	Prep	through	[sound:dangdai-B2L13-II-05.mp3]		
B2L13-II-06	世界	世界	shìjiè	N	the world	[sound:dangdai-B2L13-II-06.mp3]		
B2L13-II-07	節省	节省	jiéshěng	V	to save	[sound:dangdai-B2L13-II-07.mp3]		
B2L13-II-08	起床	起床	qǐchuáng	Vp-sep	to get out of bed	[sound:dangdai-B2L13-II-08.mp3]		
B2L13-II-09	檢查	检查	jiǎnchá	V	to check	[sound:dangdai-B2L13-II-09.mp3]		
B2L13-II-10	郵件	邮件	yóujiàn	N	mail	[sound:dangdai-B2L13-II-10.mp3]		
B2L13-II-11	立刻	立刻	lìkè	Adv	immediately	[sound:dangdai-B2L13-II-11.mp3]		
B2L13-II-12	上傳	上传	shàngchuán	V	to upload, to post	[sound:dangdai-B2L13-II-12.mp3]		
B2L13-II-13	正常	正常	zhèngcháng	Vs	to be normal	[sound:dangdai-B2L13-II-13.mp3]		
B2L13-II-14	談	谈	tán	V	to talk over, to talk about, to discuss	[sound:dangdai-B2L13-II-14.mp3]		
B2L13-II-15	現代人	现代人	xiàndài rén	Ph	modern day people, people today	[sound:dangdai-B2L13-II-15.mp3]		
B2L13-II-16	比方說	比方说	bǐfāng shuō	Ph	for example	[sound:dangdai-B2L13-II-16.mp3]		
B2L13-II-17	做到	做到	zuòdào	Ph	to be able to achieve, to succeed in doing	[sound:dangdai-B2L13-II-17.mp3]		
B2L13-II-18	第一手	第一手	dìyīshǒu	Ph	first hand	[sound:dangdai-B2L13-II-18.mp3]		
B2L13-II-19	急著	急着	jízhe	Ph	in a hurry to	[sound:dangdai-B2L13-II-19.mp3]		
B2L13-II-20	打招呼	打招呼	dǎ zhāohū	Ph	to greet someone; to say hello; to wave at someone	[sound:dangdai-B2L13-II-20.mp3]		
B2L13-II-21	面對面	面对面	miàn duì miàn	Ph	face-to-face	[sound:dangdai-B2L13-II-21.mp3]		
B2L14-I-01	將來	将来	jiānglái	N	the future	[sound:dangdai-B2L14-I-01.mp3]		
B2L14-I-02	徵求	征求	zhēngqiú	V	to seek, to invite applications for	[sound:dangdai-B2L14-I-02.mp3]		
B2L14-I-03	教師	教师	jiàoshī	N	instructor	[sound:dangdai-B2L14-I-03.mp3]		
B2L14-I-04	認為	认为	rènwéi	Vst	to have the opinion that, to think	[sound:dangdai-B2L14-I-04.mp3]		
B2L14-I-05	畢業	毕业	bìyè	Vp-sep	to graduate	[sound:dangdai-B2L14-I-05.mp3]		
B2L14-I-06	發展	发展	fāzhǎn	V	to develop	[sound:dangdai-B2L14-I-06.mp3]		
B2L14-I-07	連	连	lián	Prep	even	[sound:dangdai-B2L14-I-07.mp3]		
B2L14-I-08	想法	想法	xiǎngfǎ	N	thoughts, way of thinking, idea	[sound:dangdai-B2L14-I-08.mp3]		
B2L14-I-09	不但	不但	búdàn	Conj	not only	[sound:dangdai-B2L14-I-09.mp3]		
B2L14-I-10	繼續	继续	jìxù	Vaux	to continue	[sound:dangdai-B2L14-I-10.mp3]		
B2L14-I-11	使用	使用	shǐyòng	V	to make use of, to use	[sound:dangdai-B2L14-I-11.mp3]		
B2L14-I-12	實現	实现	shíxiàn	Vp	to come true, to realize	[sound:dangdai-B2L14-I-12.mp3]		
B2L14-I-13	招待	招待	zhāodài	V	to entertain, to play host to	[sound:dangdai-B2L14-I-13.mp3]		
B2L14-I-14	研究所	研究所	yánjiùsuǒ	N	graduate school	[sound:dangdai-B2L14-I-14.mp3]		
B2L14-I-15	聚	聚	jù	Vi	to get together	[sound:dangdai-B2L14-I-15.mp3]		
B2L14-I-16	香港	香港	Xiānggǎng		Hong Kong	[sound:dangdai-B2L14-I-16.mp3]		Name
B2L14-I-17	上海	上海	Shànghǎi		Shanghai	[sound:dangdai-B2L14-I-17.mp3]		Name
B2L14-I-18	說到	说到	shuōdào	Ph	to mention	[sound:dangdai-B2L14-I-18.mp3]		
B2L14-I-19	念完	念完	niànwán	Ph	to complete (an academic program)	[sound:dangdai-B2L14-I-19.mp3]		
B2L14-I-20	分公司	分公司	fēngōngsī	Ph	branch office	[sound:dangdai-B2L14-I-20.mp3]		
B2L14-I-21	捨不得	舍不得	shěbùde	Ph	reluctant to part with	[sound:dangdai-B2L14-I-21.mp3]		
B2L14-I-22	聚一聚	聚一聚	jù yí jù	Ph	get together	[sound:dangdai-B2L14-I-22.mp3]		
B2L14-II-01	當時	当时	dāngshí	Adv	at that time	[sound:dangdai-B2L14-II-01.mp3]		
B2L14-II-02	聲調	声调	shēngdiào	N	tones	[sound:dangdai-B2L14-II-02.mp3]		
B2L14-II-03	發音	发音	fāyīn	N	pronunciation	[sound:dangdai-B2L14-II-03.mp3]		
B2L14-II-04	準	准	zhǔn	Vs	to be accurate	[sound:dangdai-B2L14-II-04.mp3]		
B2L14-II-05	企業	企业	qìyè	N	enterprise	[sound:dangdai-B2L14-II-05.mp3]		
B2L14-II-06	管理	管理	guǎnlǐ	N	management	[sound:dangdai-B2L14-II-06.mp3]		
B2L14-II-07	系	系	xì	N	academic department (of a university)	[sound:dangdai-B2L14-II-07.mp3]		
B2L14-II-08	經濟	经济	jīngjì	N	economy	[sound:dangdai-B2L14-II-08.mp3]		
B2L14-II-09	幫助	帮助	bāngzhù	N	help	[sound:dangdai-B2L14-II-09.mp3]		
B2L14-II-10	有關	有关	yǒuguān	Vst	to be related to	[sound:dangdai-B2L14-II-10.mp3]		
B2L14-II-11	語法	语法	yǔfǎ	N	syntax, grammar	[sound:dangdai-B2L14-II-11.mp3]		
B2L14-II-12	研究	研究	yánjiù	V	to do research in	[sound:dangdai-B2L14-II-12.mp3]		
B2L14-II-13	教書	教书	jiāoshū	V-sep	to teach	[sound:dangdai-B2L14-II-13.mp3]		
B2L14-II-14	方法	方法	fāngfǎ	N	method, approach	[sound:dangdai-B2L14-II-14.mp3]		
B2L14-II-15	目的	目的	mùdì	N	goal, objective	[sound:dangdai-B2L14-II-15.mp3]		
B2L14-II-16	國際	国际	guójì	Vs-attr	international	[sound:dangdai-B2L14-II-16.mp3]		
B2L14-II-17	翻譯	翻译	fānyì	N	translator, interpreter	[sound:dangdai-B2L14-II-17.mp3]		
B2L14-II-18	外交	外交	wàijiāo	N	diplomacy, foreign affairs	[sound:dangdai-B2L14-II-18.mp3]		
B2L14-II-19	人員	人员	rényuán	N	staff, personnel	[sound:dangdai-B2L14-II-19.mp3]		
B2L14-II-20	充實	充实	chōngshí	V	to enrich, to strengthen	[sound:dangdai-B2L14-II-20.mp3]		
B2L14-II-21	專業	专业	zhuānyè	N	profession, specialisation	[sound:dangdai-B2L14-II-21.mp3]		
B2L14-II-22	能力	能力	nénglì	N	capacity, ability	[sound:dangdai-B2L14-II-22.mp3]		
B2L14-II-23	加拿大	加拿大	Jiānádà		Canada	[sound:dangdai-B2L14-II-23.mp3]		Name
B2L14-II-24	企業管理系（企管系）	企业管理系（企管系）	qìyè guǎnlǐ xì	Ph	department of business management	[sound:dangdai-B2L14-II-24.mp3]	企業管理系 [qìyè guǎnlǐ xì] / 企管系 [qìguǎnxì]	
B2L14-II-25	國際關係	国际关系	guójì guānxì	Ph	international relations	[sound:dangdai-B2L14-II-25.mp3]		
B2L15-I-01	春節	春节	chūnjié	N	the Lunar New Year, the Spring Festival	[sound:dangdai-B2L15-I-01.mp3]		
B2L15-I-02	伯伯	伯伯	bóbo	N	(older) uncle, friends' fathers in general	[sound:dangdai-B2L15-I-02.mp3]		
B2L15-I-03	年夜飯	年夜饭	niányèfàn	N	Lunar New Year's Eve dinner	[sound:dangdai-B2L15-I-03.mp3]		
B2L15-I-04	打擾	打扰	dǎrǎo	V	to trouble (someone), to disturb	[sound:dangdai-B2L15-I-04.mp3]		
B2L15-I-05	女兒	女儿	nǚ'ér	N	daughter	[sound:dangdai-B2L15-I-05.mp3]		
B2L15-I-06	國外	国外	guówài	N	abroad	[sound:dangdai-B2L15-I-06.mp3]		
B2L15-I-07	圍爐	围炉	wéilú	V-sep	for a family to gather over Lunar New Year's Eve dinner	[sound:dangdai-B2L15-I-07.mp3]		
B2L15-I-08	意思	意思	yìsi	N	meaning	[sound:dangdai-B2L15-I-08.mp3]		
B2L15-I-09	全家	全家	quánjiā	N	the entire family	[sound:dangdai-B2L15-I-09.mp3]		
B2L15-I-10	孩子	孩子	háizi	N	children	[sound:dangdai-B2L15-I-10.mp3]		
B2L15-I-11	吉祥	吉祥	jíxiáng	Vs	auspicious	[sound:dangdai-B2L15-I-11.mp3]		
B2L15-I-12	年紀	年纪	niánjì	N	age	[sound:dangdai-B2L15-I-12.mp3]		
B2L15-I-13	過年	过年	guò nián	Ph	to celebrate the Lunar New Year	[sound:dangdai-B2L15-I-13.mp3]		
B2L15-I-14	除夕夜	除夕夜	chúxì yè	Ph	Lunar New Year's Eve	[sound:dangdai-B2L15-I-14.mp3]		
B2L15-I-15	睡著	睡着	shuìzháo	Ph	to fall asleep	[sound:dangdai-B2L15-I-15.mp3]		
B2L15-I-16	壓歲錢	压岁钱	yāsuìqián	Ph	New Year's Eve money	[sound:dangdai-B2L15-I-16.mp3]		
B2L15-I-17	恭喜發財	恭喜发财	gōngxǐ fācái	Ph	Congratulations. I wish you wealth.	[sound:dangdai-B2L15-I-17.mp3]		
B2L15-I-18	好了	好了	hǎo le	Ph	OK	[sound:dangdai-B2L15-I-18.mp3]		
B2L15-II-01	節日	节日	jiérì	N	holiday, festival	[sound:dangdai-B2L15-II-01.mp3]		
B2L15-II-02	打掃	打扫	dǎsǎo	V	to clean up (must include sweeping)	[sound:dangdai-B2L15-II-02.mp3]		
B2L15-II-03	另外	另外	lìngwài	Conj	in addition	[sound:dangdai-B2L15-II-03.mp3]		
B2L15-II-04	春聯	春联	chūnlián	N	New Year's couplets (with calligraphy, in doublets)	[sound:dangdai-B2L15-II-04.mp3]		
B2L15-II-05	除夕	除夕	chúxì	N	Lunar New Year's Eve	[sound:dangdai-B2L15-II-05.mp3]		
B2L15-II-06	年糕	年糕	niángāo	N	new year rice cake	[sound:dangdai-B2L15-II-06.mp3]		
B2L15-II-07	橘子	橘子	júzi	N	orange, tangerine	[sound:dangdai-B2L15-II-07.mp3]		
